Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR,citation_id,scholar_id,dosen,source
"MD Haryonida, A Prapanca",,Perancangan Dan Implementasi Sistem Penyimpanan Digital Berbasis WEB di CV. SKM INDONESIA.,2026,"Journal of Informatics and Computer Science (JINACS), 563-567, 2026",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:4hFrxpcac9AC,,,,,,WdhKN0sAAAAJ:4hFrxpcac9AC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"RN Atika, A Prapanca",,Pengembangan E-Modul Berbasis Web Dengan Model Pembelajaran PjBL Pada Mata Pelajaran TJKT di SMKN 1 Kemlagi,2026,"IT-Edu: Jurnal Information Technology and Education 11 (01), 2026",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:a9-T7VOCCH8C,,,,,,WdhKN0sAAAAJ:a9-T7VOCCH8C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"Y Yamasari, A Qoiriah, RE Putra, A Prihanto, IM Suartana, A Prapanca",,Pelatihan Aplikasi Komputer untuk Penulisan Ilmiah di SMPN 1 Pagerwojo Tulungagung Jawa Timur: Computer Application Training for Scientific Writing at SMPN 1 Pagerwojo …,2025,"PengabdianMu: Jurnal Ilmiah Pengabdian kepada Masyarakat 10 (8), 1936-1943, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:LO7wyVUgiFcC,,,,,,WdhKN0sAAAAJ:LO7wyVUgiFcC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"K Gala, A Prapanca",,Pengembangan Sistem Rekomendasi Film Berbasis Web Menggunakan Algoritma Collaborative Filtering,2025,"Journal of Informatics and Computer Science (JINACS) 7 (01), 50-56, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:8d8msizDQcsC,,,,,,WdhKN0sAAAAJ:8d8msizDQcsC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"NSB Nugrahani, A Prapanca",,Implementasi Algoritma C5. 0 Pada Klasifikasi Status Gizi Balita Di Kecamatan Ponorogo,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1089-1098, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:_FM0Bhl9EiAC,,,,,,WdhKN0sAAAAJ:_FM0Bhl9EiAC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"YR Nusantoko, A Prapanca",,Pengembangan Aplikasi Human Resource Information System Berbasis Mobile Dengan Absensi Wajah Menggunakan Metode CNN Pada BMT Bahtera Pekalongan,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1020-1038, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:4fGpz3EwCPoC,,,,,,WdhKN0sAAAAJ:4fGpz3EwCPoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"DR Aldino, A Prapanca",,Analisis Quality Of Service Menggunakan Metode Queue Tree Sebagai Manajemen Bandwidth Pada Jaringan Internet PT. Timber Kreasi,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1010-1019, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:bz8QjSJIRt4C,,,,,,WdhKN0sAAAAJ:bz8QjSJIRt4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"A Prapanca, N Belhaouas, I Mahmoud",,Modified FATA Morgana Algorithm Based on Levy Flight,2025,"Vokasi Unesa Bulletin of Engineering, Technology and Applied Science 2 (1), 1-11, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:kh2fBNsKQNwC,,,,,,WdhKN0sAAAAJ:kh2fBNsKQNwC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"FI Maulana, A Prapanca",,Pengembangan Sistem Penjadwalan Keberangkatan Kapal Berbasis Web Dengan Arsitektur Model View Controller Menggunakan Algoritma Genetika,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 891-902, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Ri6SYOTghG4C,,,,,,WdhKN0sAAAAJ:Ri6SYOTghG4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AZ Al Aqthar, A Prapanca",,Sistem Rekomendasi Motif Batik Sesuai dengan Kebutuhan Acara Pernikahan Pengguna Menggunakan Metode Content-Based Filtering,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 823-829, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:YohjEiUPhakC,,,,,,WdhKN0sAAAAJ:YohjEiUPhakC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"BI Basvira, A Prapanca",,Rancang Bangun Sistem Reservasi Hotel Online Untuk Mendukung Digitalisasi Layanan Hotel X,2025,"Journal of Informatics and Computer Science (JINACS) 7 (02), 525-538, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:HtEfBTGE9r8C,,,,,,WdhKN0sAAAAJ:HtEfBTGE9r8C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"ARR Raif, RE Putra, A Prapanca, A Qoiriah",,Penerapan DINOv2 pada Content Based Image Retrieval (CBIR) dalam Website Katalog Digital Batik Surabaya,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 678-687, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:PVjk1bu6vJQC,,,,,,WdhKN0sAAAAJ:PVjk1bu6vJQC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"MW Aditya, A Prapanca",,Penerapan Load Balancing Dengan Metode Ecmp (Equal-Cost Multipath) Pada Jaringan Internet Di Pondok Pesantren Al Jihad Surabaya,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 639-646, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:5qfkUJPXOUwC,,,,,,WdhKN0sAAAAJ:5qfkUJPXOUwC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"MG Miranti, A Wiyono, AD Indriyanti, S Handajani, IAT Rahayu, ...",,Susu Kedelai: Teknologi Pembuatan dan Prospek Usahanya,2024,"Mitra Edukasi dan Publikasi, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:rmuvC79q63oC,,,,,,WdhKN0sAAAAJ:rmuvC79q63oC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"II Addaviqi, A Prapanca",,Metabharata game based on Javanese Wayang art using Unity,2024,"Vokasi Unesa Bulletin of Engineering, Technology and Applied Science, 38-45, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:ClCfbGk0d_YC,,,,,,WdhKN0sAAAAJ:ClCfbGk0d_YC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AP Syalsabella, A Prapanca",,Perancangan Website Online Course (KitaPTN) untuk Persiapan UTBK Menggunakan Algoritma Fisher-Yates Shuffle,2024,"Journal of Informatics and Computer Science (JINACS) 6 (02), 581-588, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:FPJr55Dyh1AC,,,,,,WdhKN0sAAAAJ:FPJr55Dyh1AC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"B Arfianto, A Prapanca",,Analisis Perbandingan Performa Pola Arsitektur Model-View-ViewModel (MVVM) dan Model-View-Presenter (MVP) pada Pengembangan Aplikasi Desa Wisata Berbasis Android,2024,"Journal of Informatics and Computer Science (JINACS) 6 (02), 465-478, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Ug5p-4gJ2f0C,,,,,,WdhKN0sAAAAJ:Ug5p-4gJ2f0C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"A Prihanto, A Prapanca, R Alit",,Adaptive Smart Lighting dengan Memanfaatkan Teknologi Berbasis Internet of Things (IoT),2024,"JIEET (Journal of Information Engineering and Educational Technology) 8 (1 …, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:edDO8Oi4QzsC,,,,,,WdhKN0sAAAAJ:edDO8Oi4QzsC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"ZCV Soedjono, A Prapanca",,RANCANG BANGUN APLIKASI UJI KOMPETENSI MATA PELAJARAN DASAR-DASAR PROGRAM KEAHLIAN PPLG BERBASIS WEBSITE DENGAN MODEL PEMBELAJARAN PROBLEM BASED LEARNING (STUDI KASUS SMK …,2024,"IT-Edu: Jurnal Information Technology and Education 9 (1), 192-204, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:XoXfffV-tXoC,,,,,,WdhKN0sAAAAJ:XoXfffV-tXoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AA Febriansyah, A Prapanca",,Simulasi Implementasi High Availability Server Menggunakan Ceph Pada Proxmox,2024,"Journal of Informatics and Computer Science (JINACS) 6 (01), 131-136, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:ruyezt5ZtCIC,,,,,,WdhKN0sAAAAJ:ruyezt5ZtCIC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"II Addaviqi, A Prapanca",,Rancang bangun game 2D Metabharata berbasis Android dengan Waterfall Model menggunakan software Unity sebagai game berbasis kesenian wayang Jawa,2024,"Journal of Informatics and Computer Science (JINACS) 5 (04), 608-615, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:q3CdL3IzO_QC,,,,,,WdhKN0sAAAAJ:q3CdL3IzO_QC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"Y Yamasari, A Qoiriah, N Rochmawati, A Prapanca, A Prihanto, ...",,Applying Data Mining for Anomalies Detection on the Academic Performance of Student,2024,"5th Vocational Education International Conference (VEIC-5 2023), 767-771, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:xtoqd-5pKcoC,,,,,,WdhKN0sAAAAJ:xtoqd-5pKcoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"M Mirza, A Prapanca",,Pengembangan Web SSO Unesa Dengan Penambahan Colourblind Mode Menggunakan Algoritma Berbasis Hue and Saturation,2024,"Journal of Informatics and Computer Science (JINACS) 5 (03), 456-465, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Dip1O2bNi0gC,,,,,,WdhKN0sAAAAJ:Dip1O2bNi0gC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AA Akbar, A Prapanca",,Perbandingan Kinerja Wifi Mesh Dan Access Point Sebagai Home Solution Menggunakan Metode Quality Of Service (QoS),2024,"Journal of Informatics and Computer Science (JINACS) 5 (03), 432-439, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:PoWvk5oyLR8C,,,,,,WdhKN0sAAAAJ:PoWvk5oyLR8C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"YI Wulansari, A Prapanca",,PENGEMBANGAN M-LEARNING BERBANTUAN CISCO IT ESSENTIALS VIRTUAL DESKTOP PADA MATA PELAJARAN INFORMATIKA DENGAN MENERAPKAN MODEL PEMBELAJARAN PjBL DI SMKN 7 SURABAYA,2024,"IT-Edu: Jurnal Information Technology and Education 9 (1), 73-82, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:SpbeaW3--B0C,,,,,,WdhKN0sAAAAJ:SpbeaW3--B0C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"MR Prasetyo, A Prapanca",,RANCANG BANGUN PROJECT BASED LEARNING MENGGUNAKAN WEB-BASED LEARNING SEBAGAI MEDIA PEMBELAJARAN INTERAKTIF UNTUK MENINGKATKAN KETERAMPILAN PSIKOMOTOR PEMROGRAMAN WEB,2024,"IT-Edu: Jurnal Information Technology and Education 9 (1), 47-54, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:i2xiXl-TujoC,,,,,,WdhKN0sAAAAJ:i2xiXl-TujoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AW Fiqri, A Prapanca",,Analisis Kinerja Dan Implementasi Load Balancing Menggunakan Metode PCC (Per Connection Classifier) Pada SMP Negeri 53 Surabaya,2024,"Journal of Informatics and Computer Science (JINACS) 5 (03), 331-343, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:e_rmSamDkqQC,,,,,,WdhKN0sAAAAJ:e_rmSamDkqQC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"PA Safitri, A Prapanca",,Sistem Layanan Pengaduan Kekerasan Seksual Berbasis Bot Telegram dengan Webhook Communication di Universitas Negeri Surabaya,2024,"Journal of Informatics and Computer Science (JINACS) 5 (03), 272-281, 2024",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:-FonjvnnhkoC,,,,,,WdhKN0sAAAAJ:-FonjvnnhkoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"YA Rahman, A Prapanca",,PENGEMBANGAN E-MODUL INTERAKTIF BERBASIS PROJECT BASED LEARNING PADA MATA PELAJARAN PEMROGRAMAN WEB DI SMK SEMEN GRESIK,2023,"IT-Edu: Jurnal Information Technology and Education 8 (3), 98-103, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:WZBGuue-350C,,,,,,WdhKN0sAAAAJ:WZBGuue-350C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"N Febrianti, A Prapanca",,Pengembangan Media Pembelajaran E-modul Berbasis Website Pada Materi Format Teks Halaman Web Kelas X RPL Di SMKN 2 Mojokerto,2023,"IT-Edu: Jurnal Information Technology and Education 8 (3), 75-80, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:M7yex6snE4oC,,,,,,WdhKN0sAAAAJ:M7yex6snE4oC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"YZ Fakhri, A Prapanca",,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS WEBSITE UNTUK MATA PELAJARAN DASAR DESAIN GRAFIS KELAS X DI SEKOLAH MENENGAH KEJURUAN,2023,"IT-Edu: Jurnal Information Technology and Education 8 (3), 35-43, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:k8Z6L05lTy4C,,,,,,WdhKN0sAAAAJ:k8Z6L05lTy4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"MF Budihardjo, A Prapanca",,Pengembangan E-Modul Berplatform Android Untuk Meningkatkan Motivasi Belajar Siswa Pada Mata Pelajaran Teknologi Layanan Jaringan Untuk Siswa Kelas XI,2023,"IT-Edu: Jurnal Information Technology and Education 8 (3), 25-34, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:VaXvl8Fpj5cC,,,,,,WdhKN0sAAAAJ:VaXvl8Fpj5cC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"MY Misbakhudin, A Prapanca",,Pembuatan sistem monitoring dan evaluasi praktik kerja lapangan berbasis web untuk mengukur kedisiplinan dan ketaatan dalam pelaporan kegiatan,2023,"IT-Edu: Jurnal Information Technology and Education 8 (3), 17-24, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:LI9QrySNdTsC,,,,,,WdhKN0sAAAAJ:LI9QrySNdTsC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"MM Zahid, A Prapanca",,Rancang Bangun Website Absensi Menggunakan Rfid Dan Whatsapp Untuk Meningkatkan Kedisiplinan Dan Nilai Rapor Siswa,2023,"IT-Edu: Jurnal Information Technology and Education 8 (3), 9-16, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:lmc2jWPfTJgC,,,,,,WdhKN0sAAAAJ:lmc2jWPfTJgC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"BH Pakarti, A Prapanca",,Perancangan Ulang User Inteface (UI) Dan User Experience (UX) Website Perzela Dengan Metode User Centered Design (UCD),2023,"Journal of Emerging Information Systems and Business Intelligence 4 (4), 150-162, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:MLfJN-KU85MC,,,,,,WdhKN0sAAAAJ:MLfJN-KU85MC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"R Alit, A Prihanto, A Prapanca",,"Design of Industrial Practice and Thesis Monitoring Information System (SIPIKRI) In Informatics Engineering Study Program, State University of Surabaya",2023,"IJCONSIST JOURNALS 5 (1), 11-15, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:NXb4pA-qfm4C,,,,,,WdhKN0sAAAAJ:NXb4pA-qfm4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AF Alfarqi, A Prapanca",,PENGEMBANGAN MEDIA PEMBELAJARAN WEBSITE INTERAKTIF DENGAN POLA PERANCANGAN MODEL VIEW CONTROLLER UNTUK MENINGKATKAN KOMPETENSI SISWA DI SMK NEGERI 1 SURABAYA,2023,"IT-Edu: Jurnal Information Technology and Education 8 (2), 157-167, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:b1wdh0AR-JQC,,,,,,WdhKN0sAAAAJ:b1wdh0AR-JQC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AD Kusumawati, A Prapanca",,Pengembangan media pembelajaran berbasis website dengan model pembelajaran project based learning pada mata pelajaran dasar-dasar teknik jaringan komputer dan telekomunikasi di …,2023,"IT-Edu: Jurnal Information Technology and Education 8 (2), 137-146, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:kuK5TVdYjLIC,,,,,,WdhKN0sAAAAJ:kuK5TVdYjLIC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"EIN Al Hadad, A Prapanca",,"Analisis Kualitas Layanan Jaringan Internet Menggunakan Metode Quality Of Service (QoS) Dan Reliability, Maintainability And Availability (RMA)(Studi Kasus: SMK Negeri 3 Jombang)",2023,"Journal of Informatics and Computer Science (JINACS) 4 (04), 414-422, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:gsN89kCJA0AC,,,,,,WdhKN0sAAAAJ:gsN89kCJA0AC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"B Wahyudianto, A Prapanca",,PENGEMBANGAN BOARD GAME SNAKE-TRUE/FALSE BERBASIS ANDROID SEBAGAI PENUNJANG PEMROGRAMAN C++ DI SMKN 1 SURABAYA,2023,"IT-Edu: Jurnal Information Technology and Education 8 (1), 33-40, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:L7CI7m0gUJcC,,,,,,WdhKN0sAAAAJ:L7CI7m0gUJcC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"AN Sholeh, A Prapanca",,Pengembangan Media Pembelajaran Berbasis Video Animasi Infografis pada Mata Pelajaran Teknik Animasi 2 Dimensi dan 3 Dimensi Kelas XI Multimedia di SMKN 1 Driyorejo,2023,"IT-Edu: Jurnal Information Technology and Education 8 (1), 17-25, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:EYYDruWGBe4C,,,,,,WdhKN0sAAAAJ:EYYDruWGBe4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"P Nerisafitra, MDE Susanti, R Alit, A Prapanca",,How to Find Gap Analysis in Undergraduate User Satisfaction Through a Tracer Study,2023,"Applied Technology and Computing Science Journal 6 (2), 123-131, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:hCrLmN-GePgC,,,,,,WdhKN0sAAAAJ:hCrLmN-GePgC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"A Prihanto, A Prapanca",,Smart Automatic Sliding Gate Dengan Memanfaatkan Teknologi Berbasis Internet Of Things (IoT),2022,"JIEET (Journal of Information Engineering and Educational Technology) 6 (2 …, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:vbGhcppDl1QC,,,,,,WdhKN0sAAAAJ:vbGhcppDl1QC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"IM Suartana, RE Putra, A Prapanca",,Klasifikasi Data Trafik Jaringan dengan Framework Big Data Analitik,2022,"JIEET (Journal of Information Engineering and Educational Technology) 6 (2 …, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:p__nRnzSRKYC,,,,,,WdhKN0sAAAAJ:p__nRnzSRKYC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"CG Aprillia, A Prapanca",,Perbandingan Citra Digital Sebelum dan Sesudah Melakukan Kombinasi Proses Enkripsi Menggunakan Algoritma RC4 dengan Metode Steganografi Least Significant Bit (LSB),2022,"Journal of Informatics and Computer Science (JINACS) 4 (01), 56-66, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:ML0RJ9NH7IQC,,,,,,WdhKN0sAAAAJ:ML0RJ9NH7IQC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"MFR Romadhoni, A Prapanca",,Penerapan AHP dan Normalisasi SAW sebagai Pendukung Promosi Ide pada Mobile IMS,2022,"Journal of Informatics and Computer Science (JINACS) 4 (01), 34-44, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Z5m8FVwuT1cC,,,,,,WdhKN0sAAAAJ:Z5m8FVwuT1cC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"EPE Wibowo, A Prapanca",,Analisis User Experience Terhadap Tingkat Kepuasan Pelanggan Pada Aplikasi Mubeat,2022,"Jurnal Education and Development 10 (2), 596-602, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:uWiczbcajpAC,,,,,,WdhKN0sAAAAJ:uWiczbcajpAC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
"IM Suartana, RE Putra, R Bisma, A Prapanca",,Pengenalan pentingnya cyber security awareness pada umkm,2022,"Jurnal Abadimas Adi Buana 5 (02), 197-204, 2022",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:vDijr-p_gm4C,,,,,,WdhKN0sAAAAJ:vDijr-p_gm4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar
