course_url,mata_kuliah,kelas,meeting_number,activity_description,date
https://sindig.unesa.ac.id/course/3/3143/proyek-sains-data,Proyek Sains Data,2022B,15,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 11 Desember 2025,11 Desember 2025
https://sindig.unesa.ac.id/course/3/3143/proyek-sains-data,Proyek Sains Data,2022B,16,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,1,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 28 Agustus 2025",28 Agustus 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,2,Limit dan kekontinuan fungsi Date 4 September 2025,4 September 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,3,Limit dan kekontinuan fungsi Date 11 September 2025,11 September 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,4,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 25 September 2025,25 September 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,5,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 2 Oktober 2025,2 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,6,Masalah yang berkaitan dengan turunan Date 9 Oktober 2025,9 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,7,Masalah yang berkaitan dengan turunan Date 16 Oktober 2025,16 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,8,Ujian Tengah Semester Date 23 Oktober 2025,23 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,9,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 30 Oktober 2025,30 Oktober 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,10,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 6 November 2025,6 November 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,11,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 13 November 2025,13 November 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,12,Aplikasi dari integral Date 20 November 2025,20 November 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,13,Aplikasi dari integral Date 27 November 2025,27 November 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,14,Bilangan Kompleks dan sifatnya Date 4 Desember 2025,4 Desember 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,15,Bilangan Kompleks dan sifatnya Date 11 Desember 2025,11 Desember 2025
https://sindig.unesa.ac.id/course/3/2836/matematika-dasar,Matematika Dasar,2025G,16,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,1,"Fungsi, daerah asal, daerah hasil, menggambar grafik fungsi. Date 29 Agustus 2025",29 Agustus 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,2,Limit dan kekontinuan fungsi Date 5 September 2025,5 September 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,3,Limit dan kekontinuan fungsi Date 12 September 2025,12 September 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,4,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 26 September 2025,26 September 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,5,Turunan fungsi aljabar dan fungsi-fungsi transenden. Date 3 Oktober 2025,3 Oktober 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,6,Masalah yang berkaitan dengan turunan Date 10 Oktober 2025,10 Oktober 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,7,Masalah yang berkaitan dengan turunan Date 17 Oktober 2025,17 Oktober 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,8,Ujian Tengah Semester Date 24 Oktober 2025,24 Oktober 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,9,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 31 Oktober 2025,31 Oktober 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,10,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 7 November 2025,7 November 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,11,Hasil integrasi suatu fungsi dengan menggunakan teknik-teknik integrasi Date 14 November 2025,14 November 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,12,Aplikasi dari integral Date 21 November 2025,21 November 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,13,Aplikasi dari integral Date 28 November 2025,28 November 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,14,Bilangan Kompleks dan sifatnya Date 5 Desember 2025,5 Desember 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,15,Bilangan Kompleks dan sifatnya Date 12 Desember 2025,12 Desember 2025
https://sindig.unesa.ac.id/course/3/3244/matematika-dasar,Matematika Dasar,2025F,16,Ujian Akhir Semester Date 19 Desember 2025,19 Desember 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,1,"Definisi, urgensi, dan jenis karya ilmiah Date 2 September 2025",2 September 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,2,"Sistematika: judul, abstrak, pendahuluan Date 9 September 2025",9 September 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,3,Teknik mencari literatur dan menyusun kajian pada tinjauan pustaka Date 16 September 2025,16 September 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,4,Jenis metode penelitian dan menuliskan tahapan penelitian Date 23 September 2025,23 September 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,5,"Proses menyajikan, menganalisis, dan menginterpretasi hasil Date 30 September 2025",30 September 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,6,"Proses menyajikan, menganalisis, dan menginterpretasi hasil Date 7 Oktober 2025",7 Oktober 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,7,Menyusun kesimpulan dan menuliskan saran untuk penelitian selanjutnya Date 14 Oktober 2025,14 Oktober 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,8,Date 21 Oktober 2025,21 Oktober 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,9,Date 28 Oktober 2025,28 Oktober 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,10,Date 4 November 2025,4 November 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,11,Date 11 November 2025,11 November 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,12,Date 18 November 2025,18 November 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,13,Date 25 November 2025,25 November 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,14,Date 2 Desember 2025,2 Desember 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,15,Date 9 Desember 2025,9 Desember 2025
https://sindig.unesa.ac.id/course/3/3059/tata-tulis-ilmiah,Tata Tulis Ilmiah,2022A,16,Date 16 Desember 2025,16 Desember 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,1,Konsep dasar matriks (KNO-1) Date 27 Agustus 2025,27 Agustus 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,2,Invers dan determinan matriks (KNO-1) Date 3 September 2025,3 September 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,3,Sistem persamaan linier (KNO-1) Date 10 September 2025,10 September 2025
https://sindig.unesa.ac.id/course/3/3001/aljabar-matriks,Aljabar Matriks,2025A,4,Sistem persamaan linier (KNO-1) Date 17 September 2025,17 September 2025
