dosen,scholar_id,title,authors,journal,year,citations,link
Bambang Sujatmiko,qtFw9UMAAAAJ,Penelitian kepustakaan (library research) modul pembelajaran berbasis augmented reality pada pembelajaran siswa,"RF Pringgar, B Sujatmiko","IT-Edu: Jurnal Information Technology and Education 5 (01), 317-329, 2020",2020,437,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:JV2RwH3_ST0C
Endryansyah,9BWyE0UAAAAJ,Pengendalian Suhu Air Nutrisi Pada Hidroponik NFT (Nutrient Film Technique) Berbasis Fuzzy Logic Controller,"I Asmbangnirwana, E Endryansyah, PW Rusimamto, MS Zuhrie","Jurnal Teknik Elektro 11 (1), 108-116, 2022",2022,304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:hqOjcs7Dif8C
Yuliani Puji Astuti,Tz8EfXcAAAAJ,Pengembangan lembar kerja siswa (LKS) berbasis pendekatan inkuiri terbimbing dalam pembelajaran kooperatif pada materi kalor,"Y Astuti, B Setiawan","Jurnal pendidikan ipa indonesia 2 (1), 2013",2013,276,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tz8EfXcAAAAJ&pagesize=100&citation_for_view=Tz8EfXcAAAAJ:L8Ckcad2t8MC
Bambang Suprianto,j8HRV1wAAAAJ,Aplikasi sensor ultrasonik untuk deteksi posisi jarak pada ruang menggunakan arduino uno,B Arsada,"Jurnal Teknik Elektro 6 (2), 2017",2017,226,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:ufrVoPGSRksC
Rina Harimurti,2DniQ8EAAAAJ,Pengaruh penerapan tools google classroom pada model pembelajaran project based learning terhadap hasil belajar siswa,DBP Pradana,"IT-Edu: Jurnal Information Technology and Education 2 (1), 2017",2017,218,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:HDshCWvjkbEC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan media pembelajaran berbasis flip book maker pada mata pelajaran elektronika dasar di SMK Negeri 1 Sampang,"MS Hidayatullah, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 5 (1), 83-88, 2016",2016,187,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:u-x6o8ySG0sC
Naim Rochmawati,8wFXNjYAAAAJ,Klasifikasi citra buah menggunakan convolutional neural network,"FF Maulana, N Rochmawati","Journal of Informatics and Computer Science (JINACS) 1 (02), 104-108, 2019",2019,162,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:aqlVkmm33-oC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Penerapan PIECES Framework sebagai Evaluasi Tingkat Kepuasan Mahasiswa terhadap Penggunaan Sistem Informasi Akademik Terpadu (SIAKADU) pada Universitas Negeri Surabaya,"NKA Putri, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 …, 2021",2021,146,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:9ZlFYXVOiuMC
Endryansyah,9BWyE0UAAAAJ,Keefektifan dan kepraktisan media pembelajaran menggunakan adobe flash player,"HF Milala, Endryansyah, Joko, AI Agung","Jurnal Pendidikan Teknik Elektro 11 (2), 195-202, 2022",2022,135,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:b0M2c_1WBrUC
Lilik Anifah,6MXDzBQAAAAJ,Pengaruh model pembelajaran blended learning dan motivasi belajar terhadap hasil belajar siswa kelas VIII SMPN 1 Gumukmas,N Khoiroh,"Jurnal Penelitian Ilmu Pendidikan 10 (2), 97-110, 2017",2017,132,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:uLbwQdceFCQC
Rina Harimurti,2DniQ8EAAAAJ,The design and implementation of an educational multimedia interactive operation system using Lectora Inspire,SC Wibawa,"Elinvo (Electronics, Informatics, and Vocational Education) 2 (1), 74-79, 2017",2017,108,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:QIV2ME_5wuYC
Yeni Anistyasari,IJIEntMAAAAJ,The Design And Implementation Of An Educational Multimedia Interactive Operation System Using Lectora Inspire,SC Wibawa,"Elinvo (Electronics, Informatics, and Vocational Education) 2 (1), 74-79, 2017",2017,108,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:ZeXyd9-uunAC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Perancangan User Interface dan User Experience Aplikasi Medical Tourism Indonesia Berbasis Mobile Menggunakan Metode User Centered Design (UCD)(Studi Kasus: PT Cipta Wisata Medika),"S Ernawati, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,98,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:GnPB-g6toBAC
Yeni Anistyasari,IJIEntMAAAAJ,Mesin Oven Pengering Cerdas Berbasis Internet of Things (IoT),"E Hariadi, Y Anistyasari, MS Zuhrie, RE Putra","Indonesian Journal of Engineering and Technology (INAJET) 2 (1), 18-23, 2019",2019,92,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:_xSYboBqXhAC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan Media Pembelajaran Interaktif Berbasis Articulate Storyline Pada Mata Diklat Teknik Elektronika Dasar Di Smk Negeri 1 Jetis Mojokerto,"S Yumini, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 4 (3), 845-849, 2015",2015,88,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:qxL8FJ1GzNcC
Nurhayati,AYI1rosAAAAJ,A fern antipodal vivaldi antenna for near-field microwave imaging medical applications,"AM De Oliveira, AM de Oliveira Neto, MB Perotoni, N Nurhayati, ...","IEEE Transactions on antennas and propagation 69 (12), 8816-8829, 2021",2021,86,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:R22Rs3tN8aoC
Lusia Rakhmawati,nWPONc8AAAAJ,A recent survey of self-embedding fragile watermarking scheme for image authentication with recovery capability,"L Rakhmawati, W Wirawan, S Suwadi","EURASIP Journal on Image and Video Processing 2019, 1-22, 2019",2019,85,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:k_IJM867U9cC
Lilik Anifah,6MXDzBQAAAAJ,A new approach to classify knee osteoarthritis severity from radiographic images based on CNN-LSTM method,"RT Wahyuningrum, L Anifah, IKE Purnama, MH Purnomo","2019 IEEE 10th International Conference on Awareness Science and Technology …, 2019",2019,76,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:hFOr9nPyWt4C
Lilik Anifah,6MXDzBQAAAAJ,Osteoarthritis classification using self organizing map based on gabor kernel and contrast-limited adaptive histogram equalization,"L Anifah, IKE Purnama, M Hariadi, MH Purnomo","The open biomedical engineering journal 7, 18, 2013",2013,75,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:Y0pCki6q_DkC
Naim Rochmawati,8wFXNjYAAAAJ,Analisa Learning Rate dan Batch Size pada Klasifikasi Covid Menggunakan Deep Learning dengan Optimizer Adam,"N Rochmawati, HB Hidayati, Y Yamasari, HPA Tjahyaningtijas, ...","JIEET (Journal of Information Engineering and Educational Technology) 5 (2 …, 2021",2021,70,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:mVmsd5A6BfQC
Muhammad Hakiki,2LbFMrAAAAAJ,Exploring the impact of using Chat-GPT on student learning outcomes in technology learning: The comprehensive experiment,"M Hakiki, R Fadli, AD Samala, A Fricticarani, P Dayurni, K Rahmadani, ...","Advances in Mobile Learning Educational Research 3 (2), 859-872, 2023",2023,70,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:RGFaLdJalmkC
Unit Three Kartini,S6IJ51cAAAAJ,k-Nearest Neighbor Neural Network Models for Very Short-Term Global Solar Irradiance Forecasting Based on Meteorological Data,"CR Chen, U Three Kartini","Energies 10 (2), 186, 2017",2017,70,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S6IJ51cAAAAJ&pagesize=100&citation_for_view=S6IJ51cAAAAJ:u5HHmVD_uO8C
Lusia Rakhmawati,nWPONc8AAAAJ,Covid symptom severity using decision tree,"N Rochmawati, HB Hidayati, Y Yamasari, W Yustanti, L Rakhmawati, ...","2020 Third international conference on vocational education and electrical …, 2020",2020,69,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:GnPB-g6toBAC
Yeni Anistyasari,IJIEntMAAAAJ,Covid Symptom Severity Using Decision Tree,"N Rochmawati, HB Hidayati, Y Yamasari, W Yustanti, L Rakhmawati, ...","2020 Third International Conference on Vocational Education and Electrical …, 2020",2020,69,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:maZDTaKrznsC
Naim Rochmawati,8wFXNjYAAAAJ,Covid symptom severity using decision tree,"N Rochmawati, HB Hidayati, Y Yamasari, W Yustanti, L Rakhmawati, ...","2020 third international conference on vocational education and electrical …, 2020",2020,69,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:4TOpqqG69KYC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Analisis Pengaruh Technology Readiness terhadap Perceived Usefulness dan Perceived Ease of Use terhadap Behavioral Intention dari Quick Response Indonesian Standard (QRIS …,"SN Faizani, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 …, 2021",2021,66,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:mVmsd5A6BfQC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Penggunaan metode heuristic evaluation sebagai analisis evaluasi user interface dan user experience pada aplikasi bca mobile,"M Subhan, AD Indriyanti","Journal of Emerging Information Systems and Business Intelligence 2 (3), 30-37, 2021",2021,64,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:7PzlFSSx8tAC
Yeni Anistyasari,IJIEntMAAAAJ,Studi Literatur Analisis Kelebihan dan Kekurangan LMS Terhadap Pembelajaran Berbasis Proyek pada Mata Pelajaran Pemrograman Web di SMK,"L Sulistyorini, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 171-181, 2020",2020,58,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:k_IJM867U9cC
Endryansyah,9BWyE0UAAAAJ,Implementation of arduino pro mini and ESP32 cam for temperature monitoring on automatic thermogun IoT-based,"PW Rusimamto, LA Endryansyah, R Harimurti, Y Anistyasari","Indones. J. Electr. Eng. Comput. Sci 23 (3), 1366-1375, 2021",2021,58,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:Zph67rFs4hoC
Rina Harimurti,2DniQ8EAAAAJ,Implementation of arduino pro mini and ESP32 cam for temperature monitoring on automatic thermogun IoT-based,"PW Rusimamto, LA Endryansyah, R Harimurti, Y Anistyasari","Indones. J. Electr. Eng. Comput. Sci 23 (3), 1366-1375, 2021",2021,58,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:RHpTSmoSYBkC
Yeni Anistyasari,IJIEntMAAAAJ,Implementation of arduino pro mini and ESP32 cam for temperature monitoring on automatic thermogun IoT-based,"PW Rusimamto, LA Endryansyah, R Harimurti, Y Anistyasari","Indones. J. Electr. Eng. Comput. Sci 23 (3), 1366-1375, 2021",2021,58,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:pyW8ca7W8N0C
Arif Widodo,RES4QIQAAAAJ,Rancang bangun alat monitoring daya listrik berbasis IoT menggunakan firebase dan aplikasi,"JW Jokanan, A Widodo, N Kholis, L Rakhmawati","Jurnal Teknik Elektro 11 (1), 47-55, 2022",2022,57,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RES4QIQAAAAJ&pagesize=100&citation_for_view=RES4QIQAAAAJ:1sJd4Hv_s6UC
Lusia Rakhmawati,nWPONc8AAAAJ,Rancang Bangun Alat Monitoring Daya Listrik Berbasis IoT Menggunakan Firebase Dan Aplikasi,"JW Jokanan, A Widodo, N Kholis, L Rakhmawati","Jurnal Teknik Elektro 11 (1), 47-55, 2022",2022,57,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:35N4QoGY0k4C
Nisa Dwi Septiyanti,VwvPnrcAAAAJ,Budaya Literasi Membaca di Perpustakaan untuk Meningkatkan Kompetensi Holistik bagi Siswa Sekolah Dasar,"DR Afghani, HJ Prayitno, ED Jayanti, CA Zsa-ZsaDilla, TA Salsabilla, ...","Buletin KKN Pendidikan 4 (2), 143-152, 2022",2022,57,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VwvPnrcAAAAJ&pagesize=100&citation_for_view=VwvPnrcAAAAJ:u-x6o8ySG0sC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Analisis Kepuasan Pengguna Aplikasi Camscanner Menggunakan Metode Technology Acceptance Model (TAM) dan End-User Computing Satisfaction (EUCS),"R Sholihah, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,55,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:k_IJM867U9cC
Atik Wintarti,lFCI_vsAAAAJ,Contextual Teaching and Learning Matematika: Sekolah Menengah Pertama/Madrasah Tsanawiyah Kelas VII Edisi 4,"A Wintarti, EB Rahaju, R Sulaiman, C Yakob, I Harta, P Wijayanti, ...","Pusat Perbukuan, Departemen Pendidikan Nasional, 2008",2008,55,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&pagesize=100&citation_for_view=lFCI_vsAAAAJ:WF5omc3nYNoC
Heri Purnawan,5uDKOUMAAAAJ,Design of linear quadratic regulator (LQR) control system for flight stability of LSU-05,"H Purnawan, EB Purwanto","Journal of Physics: Conference Series 890 (1), 012056, 2017",2017,53,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5uDKOUMAAAAJ&pagesize=100&citation_for_view=5uDKOUMAAAAJ:qjMakFHDy7sC
Endryansyah,9BWyE0UAAAAJ,Problem-based learning model used to scientific approach based worksheet for physics to develop senior high school students characters,D Yulianti,"Journal of Physics: Conference Series 824 (1), 012009, 2017",2017,53,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:maZDTaKrznsC
Rifqi Firmansyah,sHANI1gAAAAJ,Optimal sizing of grid-connected photovoltaic system for a large commercial load in Saudi Arabia,"MMA Seedahmed, MAM Ramli, HREH Bouchekara, AH Milyani, M Rawa, ...","Alexandria Engineering Journal 61 (8), 6523-6540, 2022",2022,52,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sHANI1gAAAAJ&pagesize=100&citation_for_view=sHANI1gAAAAJ:4TOpqqG69KYC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Perancangan Design UI/UX E-Commerce TRINITY Berbasis Website Dengan Pendekatan Design Thinking,"WSA Pratama, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 4 …, 2023",2023,52,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:vV6vV6tmYwMC
Yeni Anistyasari,IJIEntMAAAAJ,Semantic Search Pencarian Berdasarkan Konten,"R Sarno, Y Anistyasari, R Fitri","Andi, Jogjakarta, 2012",2012,51,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:IjCSPb-OGe4C
Muhammad Hakiki,2LbFMrAAAAAJ,Validitas Media Pembelajaran Interaktif Berbasis Android pada Matapelajaran Komputer dan Jaringan Dasar di Sekolah Menengah Kejuruan,"R Fadli, M Hakiki","Jurnal Inovasi Pendidikan dan Teknologi Informasi (JIPTI) 1 (1), 9-15, 2020",2020,51,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:d1gkVwhDpl0C
I Made Suartana,RvG7jG4AAAAJ,Penerapan Principal Component Analysis (PCA) Untuk Reduksi Dimensi Pada Proses Clustering Data Produksi Pertanian Di Kabupaten Bojonegoro,"D Hediyati, IM Suartana","JIEET (Journal of Information Engineering and Educational Technology) 5 (2 …, 2021",2021,51,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RvG7jG4AAAAJ&pagesize=100&citation_for_view=RvG7jG4AAAAJ:M3ejUd6NZC8C
Rifqi Firmansyah,sHANI1gAAAAJ,Stochastic optimization for the scheduling of a grid-connected microgrid with a hybrid energy storage system considering multiple uncertainties,"FN Budiman, MAM Ramli, AH Milyani, HREH Bouchekara, M Rawa, ...","Energy Reports 8, 7444-7456, 2022",2022,50,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sHANI1gAAAAJ&pagesize=100&citation_for_view=sHANI1gAAAAJ:QIV2ME_5wuYC
Ekohariadi,YADiqesAAAAJ,Pengembangan perangkat pembelajaran instalasi sistem Operasi dengan model pembelajaran berbasis proyek,"M Rajabi, E Ekohariadi, IGPA Buditjahjanto","Pendidikan Vokasi: Teori dan Praktik 3 (01), 2015",2015,49,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YADiqesAAAAJ&pagesize=100&citation_for_view=YADiqesAAAAJ:u5HHmVD_uO8C
Bambang Suprianto,j8HRV1wAAAAJ,Pengembangan media pembelajaran berbasis prezi sebagai upaya meningkatkan hasil belajar siswa kompetensi dasar aplikasi rangkaian OP AMP mata pelajaran Rangkaian Elektronika Di …,"Y Antika, B Suprianto","Jurnal Pendidikan Teknik Elektro 5 (2), 493-497, 2016",2016,48,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:ULOm3_A8WrAC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan media pembelajaran AutoPlay media studio pada mata pelajaran perekayasaan sistem audio di SMK Negeri 3 Surabaya,"I Wijaya, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 4 (3), 957-963, 2015",2015,48,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:_FxGoFyzp5QC
Muhammad Hakiki,2LbFMrAAAAAJ,PERANCANGAN SISTEM INFORMASI MANAJEMEN BERBASIS SEKOLAH SMA NEGERI 1 MUARA BUNGO,"M Hakiki, R Fadli, YI Putra, IP Pertiwi","Jurnal Muara Pendidikan 6 (1), 50-57, 2021",2021,47,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:_kc_bZDykSQC
Yuliani Puji Astuti,Tz8EfXcAAAAJ,An investigation of secondary teachers’ understanding and belief on mathematical problem solving,"TYE Siswono, AW Kohar, I Kurniasari, YP Astuti","Journal of Physics: Conference Series 693 (1), 012015, 2016",2016,47,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tz8EfXcAAAAJ&pagesize=100&citation_for_view=Tz8EfXcAAAAJ:u5HHmVD_uO8C
Berlian Maulidya Izzati,_VFGVQQAAAAJ,Analysis of customer behavior in mobile food ordering application using UTAUT model (case study: GoFood application),"F Viqha, BM Izzati","International Journal of Innovation in Enterprise System 4 (1), 23-34, 2020",2020,46,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_VFGVQQAAAAJ&pagesize=100&citation_for_view=_VFGVQQAAAAJ:d1gkVwhDpl0C
Bambang Suprianto,j8HRV1wAAAAJ,Optimization of PID parameters for controlling DC motor based on the aquila optimizer algorithm,"W Aribowo, S Supari, B Suprianto","International Journal of Power Electronics and Drive Systems (IJPEDS) 13 (1 …, 2022",2022,45,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:tKAzc9rXhukC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Evaluasi Usability Aplikasi BTN Mobile dengan Metode User Experience Questionnaire dan Heuristic Evaluation,"A Putri, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,44,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:_Qo2XoVZTnwC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Penerapan metode User Centered Design dalam perancangan ulang desain website Man 1 Pasuruan,"RD Cahyani, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,43,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:e5wmG9Sq2KIC
Endryansyah,9BWyE0UAAAAJ,Pengaruh Penggunaan Pendekatan Ilmiah (Scientific Approach) Dalam Pembelajaran Terhadap Hasil Belajar Siswa Kelas XII TITL 1 SMK Negeri 7 Surabaya Pada Standar Kompetensi …,"N Hidayati, E Endryansyah","Jurnal Pendidikan Teknik Elektro 3 (2), 25-29, 2014",2014,42,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:zYLM7Y9cAGgC
Riza Akhsani Setyo Prayoga,34CwHgkAAAAJ,Strategi pengembangan kualitas sdm “generasi millenial & generasi z” dalam menghadapi persaingan global era 5.0,"RA Prayoga, T Lajira","Prosiding Seminar Nasional Manajemen 1 (1), 37-40, 2021",2021,42,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=34CwHgkAAAAJ&pagesize=100&citation_for_view=34CwHgkAAAAJ:hC7cP41nSMkC
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Rancang bangun pembangkit listrik tenaga surya portable,"LA Gunawan, AI Agung, M Widyartono, SI Haryudo","Jurnal Teknik Elektro 10 (1), 65-71, 2021",2021,42,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:ZHo1McVdvXMC
Ibnu Febry Kurniawan,BIrtbD8AAAAJ,Interactive Learning Experience-Driven Smart Communications Networks for Cognitive Load Management in Grammar Learning Context,"N Refat, MA Rahman, AT Asyhari, IF Kurniawan, MZA Bhuiyan, H Kassim","IEEE Access 7, 64545-64557, 2019",2019,41,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BIrtbD8AAAAJ&pagesize=100&citation_for_view=BIrtbD8AAAAJ:WF5omc3nYNoC
Naim Rochmawati,8wFXNjYAAAAJ,Identifikasi citra daun tanaman herbal menggunakan metode Convolutional Neural Network (CNN),"R Pujiati, N Rochmawati","Journal of Informatics and Computer Science (JINACS) 3 (03), 351-357, 2022",2022,41,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:ZeXyd9-uunAC
Elly Matul Imah,tzjThtIAAAAJ,Heart beat classification using wavelet feature based on neural network,"W Jatmiko, WP Nulad, IE Matul, IMA Setiawan, P Mursanto","WSEAS Transactions on Systems 10 (1), 17-26, 2011",2011,41,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:u5HHmVD_uO8C
Subuh Isnur Haryudo,p1pK7E4AAAAJ,Pengembangan media pembelajaran interaktif animasi flash pada standar kompetensi memasang instalasi penerangan listrik bangunan sederhana di SMK Walisongo 2 Gempol,"BR Hakim, SI Haryudo","Jurnal Pendidikan Teknik Elektro 3 (1), 2014",2014,40,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p1pK7E4AAAAJ&pagesize=100&citation_for_view=p1pK7E4AAAAJ:u5HHmVD_uO8C
Berlian Maulidya Izzati,_VFGVQQAAAAJ,The acceptance of government resource planning system using UTAUT 2,"MS Muhardi Saputra, BMI Berlian Maulidya Izzati, ...","Jurnal Sistem Informasi (Journal of Information System) 17 (1), 1-19, 2021",2021,40,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_VFGVQQAAAAJ&pagesize=100&citation_for_view=_VFGVQQAAAAJ:_FxGoFyzp5QC
Bambang Sujatmiko,qtFw9UMAAAAJ,Sistem Informasi Tugas Akhir Berbasis Web (Studi Kasus D3 Manajemen Informatika TE FT unesa),"PA Anggaeni, B Sujatmiko","Jurnal Manajemen Informatika 2 (2), 37-45, 2013",2013,40,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:W7OEmFMy1HYC
Pradini Puspitaningayu,A9L19RMAAAAJ,Design and Implementation of SEMAR IoT Server Platform with Applications,"YYF Panduman, N Funabiki, P Puspitaningayu, M Kuribayashi, ...","Sensors 22 (17), 6436, 2022",2022,39,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=A9L19RMAAAAJ&pagesize=100&citation_for_view=A9L19RMAAAAJ:kNdYIx-mwKoC
Erik Rahman,ZjPpHWsAAAAJ&hl,BELAJAR WEB PROGRAMMING: Referensi Pengenalan Dasar Tahapan Belajar Pemrograman Web Untuk Pemula,"H Kurniawan, F Syafa'at, E Budihartono, TA Lorosae, D Apriana, M Marisa, ...","PT. Sonpedia Publishing Indonesia, 2023",2023,38,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjPpHWsAAAAJ&pagesize=100&citation_for_view=ZjPpHWsAAAAJ:eQOLeE2rZwMC
