dosen,scholar_id,title,authors,journal,year,citations,link
Nurhayati,AYI1rosAAAAJ,Sistem Control dan Keamanan Smarthome Berbasis Google Firebase,"WPA Pamungkas, N Kholis, N Nurhayati, F Baskoro","Jurnal Teknik Elektro 11 (1), 40-46, 2022",2022,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:XDrR66g3YHsC
Lilik Anifah,6MXDzBQAAAAJ,Implementasi Metode Background Subtraction Dalam Sistem Analisis Trayektori Hasil Latihan Atlet Lompat Jauh Berbasis Pengolahan Citra Digital,"A Kurniawan, L Anifah","Jurnal Teknik Elektro 8 (3), 2019",2019,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:L8Ckcad2t8MC
Lilik Anifah,6MXDzBQAAAAJ,Item analysis of a critical thinking skills test on PLC programming for prospective teachers,"PW Rusimamto, M Munoto, M Samani, L Anifah","Jurnal Pendidikan Teknologi dan Kejuruan 25 (2), 244-252, 2019",2019,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:IWHjjKOFINEC
Lilik Anifah,6MXDzBQAAAAJ,Performance of 2.4 GHz Xbee for digital image transmission with Yagi antenna,"K Rohman, D Rahmawati, L Anifah","Journal of Physics: Conference Series 1569 (3), 032083, 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:e5wmG9Sq2KIC
Yeni Anistyasari,IJIEntMAAAAJ,Multicast scheduling for stereoscopic video in wireless networks,"KL Hua, Y Anistyasari, CH Hsu, TL Chin, CL Yang, CY Wang","Multimedia Tools and Applications 76 (1), 679-706, 2017",2017,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:d1gkVwhDpl0C
Yeni Anistyasari,IJIEntMAAAAJ,Assessing Computational Thinking using Pseudocode Programming Instrument,"E Ekohariadi, Y Anistyasari, R Putra, I Kurniawan","Atlantis Press, 2018",2018,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:3fE2CSJIrl8C
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan Media Pembelajaran Berbasis Android Berdasakan Gaya Belajar Siswa,"MK MUAAFII, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 4 (02), 2019",2019,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:Wp0gIr-vW9MC
Yeni Anistyasari,IJIEntMAAAAJ,STUDI LITERATUR EVALUASI DAN PEMERIKSAAN FITUR ALAT KUIS PADA LEARNING MANAGEMENT SYSTEM BERBASIS OPEN SOURCE,"W Widiyawati, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 512-519, 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:YFjsv_pBGBYC
Yeni Anistyasari,IJIEntMAAAAJ,STUDI LITERATUR PEMANFAATAN WEBSITE BALAI LATIHAN KERJA SEBAGAI MEDIA INFORMASI KEGIATAN PELATIHAN,"C Sakinah, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 425-432, 2020",2020,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:BqipwSGYUEgC
Yeni Anistyasari,IJIEntMAAAAJ,Pengembangan NiceRoom Sebagai Online Integrated Development Environment Tools untuk Meningkatkan Hasil Belajar Siswa pada Pembelajaran Python Programming di SMKN 1 Cerme,"J Slamet, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 6 (2), 128-138, 2021",2021,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:a0OBvERweLwC
