scholar_author_id,title,link,citation_id,authors,publication,year,cited_by
lFCI_vsAAAAJ,The Development of Computer Based Interactive Learning Media on Limit Functio,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:0EnyYjriUFMC,lFCI_vsAAAAJ:0EnyYjriUFMC,"F Rachmawati, A Wintarti","MATHEdunesa 8 (2), 295-301, 2019",2019,
lFCI_vsAAAAJ,Pengembangan media pembelajaran m-learning berbasis android pada materi SPLDV,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:hqOjcs7Dif8C,lFCI_vsAAAAJ:hqOjcs7Dif8C,"I Wafiyah, A Wintarti","MATHEdunesa 8 (2), 124-127, 2019",2019,10
lFCI_vsAAAAJ,Pengembangan Bahan Ajar Berbasis Blended Learning Pada Mata Kuliah Dasar-Dasar Matematika,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:_kc_bZDykSQC,lFCI_vsAAAAJ:_kc_bZDykSQC,"A Wintarti, R Artiono, BP Prawoto","Jurnal Penelitian Pendidikan Matematika Dan Sains 3 (2), 46-54, 2019",2019,6
lFCI_vsAAAAJ,Automation animal tracker using complex value neural network,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:Se3iqnhoufwC,lFCI_vsAAAAJ:Se3iqnhoufwC,"EM Imah, A Wintarti, R Sulaiman, M Manuharawati","MATEC Web of Conferences 197, 03020, 2018",2018,
lFCI_vsAAAAJ,Analytical weighting scoring for Physics multiple correct items to improve the accuracy of students’ ability assessment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:roLk4NBRz8UC,lFCI_vsAAAAJ:roLk4NBRz8UC,A Wintarti,"Eurasian Journal of Educational Research 18 (76), 187-202, 2018",2018,4
lFCI_vsAAAAJ,Plant leaf recognition using competitive based learning algorithm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:_FxGoFyzp5QC,lFCI_vsAAAAJ:_FxGoFyzp5QC,"EM Imah, YS Rahayu, A Wintarti","IOP Conference Series: Materials Science and Engineering 288 (1), 012058, 2018",2018,11
lFCI_vsAAAAJ,Classification of Gamelan Tones Based on Fractal Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:ufrVoPGSRksC,lFCI_vsAAAAJ:ufrVoPGSRksC,"A Wintarti, D Juniati, IN Wulandari","IOP Conference Series: Materials Science and Engineering 288 (1), 012022, 2018",2018,4
lFCI_vsAAAAJ,"A Comparative Study of PCA, FFT and Wavelet as Feature Extraction for Gamelan Tones Recognition",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:LkGwnXOMwfcC,lFCI_vsAAAAJ:LkGwnXOMwfcC,"A Wintarti, EM Imah, J Winarko","Advanced Science Letters 23 (12), 12012-12015, 2017",2017,1
lFCI_vsAAAAJ,Artificial Intelligence-Based Game for Evaluation of Student Skill in Mathematic,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:hC7cP41nSMkC,lFCI_vsAAAAJ:hC7cP41nSMkC,A Wintarti,"MISEIC 2017, 2017",2017,
lFCI_vsAAAAJ,Pemisahan Sinyal Instrumen Gamelan Menggunakan Metode-Metode-Metode Berbasis Component Analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&cstart=40&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:YFjsv_pBGBYC,lFCI_vsAAAAJ:YFjsv_pBGBYC,A Wintarti,"Institut Teknologi Sepuluh Nopember, 2017",2017,
