id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
jgFNA7PEfzaOo2gWwdHj25i-_m9NI-R2aMvOPVD6wyT0LnL8083X6jg7lqxdA5Ag76l3SA==,Ulfa Siti Nuraini,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
jgFNA7PEfzaOo2gWwdHj25i-_m9NI-R2aMvOPVD6wyT0LnL8083X6jg7lqxdA5Ag76l3SA==,Ulfa Siti Nuraini,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
Q36xVqno8tgXBizNBQGkzyt1w_IS9SsM_J4okaJQjaHjjGlJ_CfMnXKWeKdMKeIP0bnFOA==,Hasanuddin Al-habib,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
Q36xVqno8tgXBizNBQGkzyt1w_IS9SsM_J4okaJQjaHjjGlJ_CfMnXKWeKdMKeIP0bnFOA==,Hasanuddin Al-habib,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
Q36xVqno8tgXBizNBQGkzyt1w_IS9SsM_J4okaJQjaHjjGlJ_CfMnXKWeKdMKeIP0bnFOA==,Hasanuddin Al-habib,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps For Education (GAFE) untuk kolaborasi Onlene antar Guru di SMK Negeri 2 Magetan.,2019,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education (GAFE) untuk Kolaborasi Online antar Guru di SMK Negeri 2 Magetan,2019,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education untuk Kolaborasi Online antar Guru di SMK Negeri 2 Magetan,2019,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google apps for Education (GAFE) untuk kolaborasi online antar guru di SMP Negeri Waru I Sidoarjo ,2018,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education untuk kolaborasi online antar guru di SMP Negeri Waru I Sidoarjo,2018,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education (GAFE) untuk Kolaborasi Online Antar Guru di SMP Kemala Bhayangkari 8 Surabaya,2017,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Scratch untuk Membekali Konsep Berfikir Logis dan Matematis pada Siswa Sekolah Dasar,2016,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Scratch untuk Membekali Konsep Berfikir Logis dan Matematis pada Siswa Sekolah Dasar (Studi Kasus pada SD Kyai Ibrahim Surabaya),2016,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Scratch untuk Membekali Konsep Berpikir Logis dan Matematis pada Siswa Sekolah Dasar,2016,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Bahasa Pemrograman Komputer untuk Meningkatkan Kemampuan Pemecahan Masalah pada Siswa Sekolah Dasar,2015,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,PELATIHAN PENGUATAN KONTEN MATEMATIKA GURU SEKOLAH INDONESIA CAIRO (SIC) MESIR,2023,Pengabdian Masyarakat
z362nqLaz9V0FaiBS7rZM7IioSsgEoUKPwh-7xUpg0TeIVgRSz6IkQCOx_x7M-oe1EumIw==,Yuliani Puji Astuti,Pelatihan Penyusunan Tugas Matematika Berorientasi Kontekstual-Numerasi bagi Guru matematika sd di kabupaten magetan,2023,Pengabdian Masyarakat
