id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education (GAFE) untuk Kolaborasi Online antar Guru di SMK Negeri 2 Magetan,2019,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education untuk Kolaborasi Online antar Guru di SMK Negeri 2 Magetan,2019,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google apps for Education (GAFE) untuk kolaborasi online antar guru di SMP Negeri Waru I Sidoarjo ,2018,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education untuk kolaborasi online antar guru di SMP Negeri Waru I Sidoarjo,2018,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education (GAFE) untuk Kolaborasi Online Antar Guru di SMP Kemala Bhayangkari 8 Surabaya,2017,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Scratch untuk Membekali Konsep Berfikir Logis dan Matematis pada Siswa Sekolah Dasar,2016,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Scratch untuk Membekali Konsep Berfikir Logis dan Matematis pada Siswa Sekolah Dasar (Studi Kasus pada SD Kyai Ibrahim Surabaya),2016,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Scratch untuk Membekali Konsep Berpikir Logis dan Matematis pada Siswa Sekolah Dasar,2016,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Bahasa Pemrograman Komputer untuk Meningkatkan Kemampuan Pemecahan Masalah pada Siswa Sekolah Dasar,2015,Pengabdian Masyarakat
PGt25k6rqQshJfmGoStYk8yF1W2TgWV3Gfg8tRkOblCdSmAu3RAPujKWA7h3qivzUgbdTQ==,Ulfa Siti Nuraini,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
PGt25k6rqQshJfmGoStYk8yF1W2TgWV3Gfg8tRkOblCdSmAu3RAPujKWA7h3qivzUgbdTQ==,Ulfa Siti Nuraini,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
PGt25k6rqQshJfmGoStYk8yF1W2TgWV3Gfg8tRkOblCdSmAu3RAPujKWA7h3qivzUgbdTQ==,Ulfa Siti Nuraini,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,PELATIHAN PENGUATAN KONTEN MATEMATIKA GURU SEKOLAH INDONESIA CAIRO (SIC) MESIR,2023,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,Pelatihan Penyusunan Tugas Matematika Berorientasi Kontekstual-Numerasi bagi Guru matematika sd di kabupaten magetan,2023,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,PENGUATAN KOMPETENSI GURU SD DI KABUPATEN TRENGGALEK DALAM MENUNJANG ASESMEN KOMPETENSI MINIMUM,2022,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,Pelatihan Mathematica Berbasis CLoud Untuk Pembelejaran Matematika SMP di MTsN Jombang,2021,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,Pelatihan Model Smart Learning untuk menunjang Pembelajaran Daring pada masa Kenormalan Baru Covid-19 bagi Guru-guru di MGMP Matematika SMP Kabupaten Lumajang,2020,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,Pelatihan Pemanfaatan Google Apps for Education bagi Guru-guru SMP Calon Peserta Lomba INOBEL di Kabupaten Ponorogo,2019,Pengabdian Masyarakat
5HLmrZPYpQ7E_bYFJPAMzgtI2hNLPhER5JBmHJ8dB53rVo8F35zyeM5hB0vQQ429BtSSBw==,Yuliani Puji Astuti,  Pelatihan Penggunaan Aplikasi jBatik untuk Mendesain Batik Fraktal di MGMP Seni Budaya Kabupaten Tulungagung,2017,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,EDUKASI MANAJEMEN STRATEGI  PEMASARAN AGROINDUSTRI KOPI DI PAGUYUBAN KOPI BON TUGU,2024,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,Pelatihan Inovasi Bakso Lele dalam Mendukung Pencegahan Stunting di Desa Pungging,2024,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,"PENYULUHAN POTENSI BUDIDAYA TANAMAN VANILI (VANILLA PLANIFOLIA) DALAM POLYBAG DI AREA PERKOTAAN PADAT PENDUDUK SEBAGAI PENGHASILAN TAMBAHAN MASYARAKAT DI KELURAHAN SOOKO, KECAMATAN SOOKO, KABUPATEN MOJOKERTO",2024,Pengabdian Masyarakat
NbLLjtLB7Ln_YpAs_4po4CRVO1LXp0DUNeDwaob3Gv7PcRb86FZHopoaoXPR7SLIPF2y7g==,Yuni Rosita Dewi,SOSIALISAI PENINGKATAN NILAI TAMBAH PRODUK  JAMU LOKAL DESA BETRO KECAMATAN KEMLAGI  KABUPATEN MOJOKERTO,2024,Pengabdian Masyarakat
