"Data set","All Authors affiliated with Universitas Negeri Surabaya","","","","","","","","","","",""
"Entity","Universitas Negeri Surabaya","","","","","","","","","","",""
"Year range","2015 to >2025","","","","","","","","","","",""
"Types of publications included","all publication types","","","","","","","","","","",""
"Self-citations","included","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Data source","Scopus","","","","","","","","","","",""
"Date last updated","11 March 2026","","","","","","","","","","",""
"","","","","","","","","","","","",""
"* If an author's affiliation is part of multiple SciVal Institutions, the author is listed multiple times with one row per Institution.","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Name","Scholarly Output","Most recent publication","Citations","Citations per Publication","Field-Weighted Citation Impact","h-index","Output in Top 10% Citation Percentiles (field-weighted)","Oldest publication (since 1996)","Scopus author ID","Scopus author profile","Primary author affiliation*","ORCID (linked to Scopus author profile)"
"Rokib, Mohammad","3","2024","7","2.3","0.00","2","0","2017","57193651968","https://www.scopus.com/authid/detail.url?authorId=57193651968","Universitas Negeri Surabaya","0000-0002-6260-9845"
"Refnitasari, Lynda","3","2025","5","1.7","0.27","1","0","2021","57369056700","https://www.scopus.com/authid/detail.url?authorId=57369056700","Universitas Negeri Surabaya",""
"Sari, Mieke Yustia Ayu Ratna","3","2026","1","0.3","0.47","2","1","2025","57876544700","https://www.scopus.com/authid/detail.url?authorId=57876544700","Universitas Negeri Surabaya",""
"Henra, Kiki","3","2025","7","2.3","1.51","1","1","2024","59222086400","https://www.scopus.com/authid/detail.url?authorId=59222086400","Unknown affiliation","0000-0001-8982-8266"
"Amiq, Bachrul","3","2025","3","1.0","0.48","2","0","2024","57214795838","https://www.scopus.com/authid/detail.url?authorId=57214795838","Universitas Negeri Surabaya",""
"Munoto, Munoto","3","2022","11","3.7","0.19","2","0","2020","57217159001","https://www.scopus.com/authid/detail.url?authorId=57217159001","Universitas Negeri Surabaya",""
"Raharjo, Resdianto Permata","3","2025","4","1.3","1.17","1","0","2024","59257985300","https://www.scopus.com/authid/detail.url?authorId=59257985300","Universitas Negeri Surabaya",""
"Husain, Muhammad","3","2026","0","0.0","0.00","0","1","2024","59512084800","https://www.scopus.com/authid/detail.url?authorId=59512084800","Universitas Negeri Surabaya",""
"Assyifa, Salwa","3","2025","3","1.0","0.59","1","0","2025","59677311700","https://www.scopus.com/authid/detail.url?authorId=59677311700","Universitas Negeri Surabaya","0009-0006-6255-2638"
"Ashar, Muhammad Nurul","3","2025","3","1.0","0.03","1","0","2021","56964142200","https://www.scopus.com/authid/detail.url?authorId=56964142200","Universitas Negeri Surabaya",""
"Trisnawati, Novi","3","2026","3","1.0","0.04","1","1","2019","57210818535","https://www.scopus.com/authid/detail.url?authorId=57210818535","Universitas Negeri Surabaya","0000-0002-8352-6942"
"Ningsih, Tri Hartutuk","3","2025","0","0.0","0.00","0","0","2022","57889969800","https://www.scopus.com/authid/detail.url?authorId=57889969800","Universitas Negeri Surabaya",""
"Ramadhan, Rizki","3","2025","3","1.0","0.59","1","0","2024","59258195300","https://www.scopus.com/authid/detail.url?authorId=59258195300","Universitas Negeri Surabaya","0009-0005-2902-6655"
"Ristiawan, Bayu","3","2026","1","0.3","0.34","1","1","2025","59934652400","https://www.scopus.com/authid/detail.url?authorId=59934652400","Universitas Negeri Surabaya",""
"Ariyanto, Restu Dwi","3","2025","0","0.0","0.00","2","0","2025","57226309955","https://www.scopus.com/authid/detail.url?authorId=57226309955","Universitas Negeri Surabaya","0000-0003-4659-5946"
"Fitriana,","3","2025","1","0.3","0.50","1","0","2023","58654645100","https://www.scopus.com/authid/detail.url?authorId=58654645100","Universitas Negeri Surabaya",""
"Shofiyah, Noly","3","2025","106","35.3","5.52","5","1","2013","57200100542","https://www.scopus.com/authid/detail.url?authorId=57200100542","Universitas Muhammadiyah Sidoarjo",""
"Prabowo, Prayudi Setiawan","3","2024","15","5.0","1.09","2","1","2018","58257405900","https://www.scopus.com/authid/detail.url?authorId=58257405900","Universitas Negeri Surabaya",""
"Ma'ruf, M. F.","3","2023","0","0.0","0.00","0","0","2018","6506388430","https://www.scopus.com/authid/detail.url?authorId=6506388430","Universitas Negeri Surabaya",""
"Listyaningsih, null","3","2025","4","1.3","0.36","1","0","2018","57201194967","https://www.scopus.com/authid/detail.url?authorId=57201194967","Universitas Negeri Surabaya","0000-0002-6639-4044"
"Sholicha, Setya Permata","3","2022","17","5.7","1.40","3","1","2019","57207856551","https://www.scopus.com/authid/detail.url?authorId=57207856551","Institut Teknologi Sepuluh Nopember",""
"Juwariyah, Anik","3","2025","10","3.3","1.14","2","1","2020","57221963162","https://www.scopus.com/authid/detail.url?authorId=57221963162","Universitas Negeri Surabaya","0000-0003-0510-3263"
"Lefrida, R.","3","2023","6","2.0","0.27","2","0","2021","57222184320","https://www.scopus.com/authid/detail.url?authorId=57222184320","Tadulako University","0000-0002-6915-3668"
"Irawan, Nico","3","2023","4","1.3","0.68","2","0","2021","57222623328","https://www.scopus.com/authid/detail.url?authorId=57222623328","Unknown affiliation","0000-0002-5955-7634"
"Izzati, Berlian Maulidya","3","2025","0","0.0","0.00","3","0","2024","57852965300","https://www.scopus.com/authid/detail.url?authorId=57852965300","Universitas Negeri Surabaya","0000-0001-8805-2750"
"Ningrum, L. Endah Cahya","3","2025","1","0.3","0.08","1","0","2022","57976985300","https://www.scopus.com/authid/detail.url?authorId=57976985300","Universitas Negeri Surabaya","0000-0002-4742-4383"
"Windayani, Novia Restu","3","2024","0","0.0","0.00","1","0","2024","59044207300","https://www.scopus.com/authid/detail.url?authorId=59044207300","Semarang State University",""
"Kartika, Ajeng Dianing","3","2026","28","9.3","0.83","1","1","2021","57225273788","https://www.scopus.com/authid/detail.url?authorId=57225273788","Universitas Negeri Surabaya",""
"Arizal, Heru","3","2025","1","0.3","0.30","1","0","2024","59046984000","https://www.scopus.com/authid/detail.url?authorId=59046984000","Universitas Negeri Surabaya","0000-0002-3043-0066"
"Bimantoro, Aprilyan Putra","3","2025","3","1.0","0.65","1","0","2025","58934895800","https://www.scopus.com/authid/detail.url?authorId=58934895800","Universitas Negeri Surabaya","0009-0009-7966-4523"
"Nugroho, Browi","3","2025","1","0.3","0.21","1","0","2025","59558083200","https://www.scopus.com/authid/detail.url?authorId=59558083200","Universitas Negeri Surabaya",""
"Hariyati, Mutty","3","2023","3","1.0","0.18","1","0","2020","57221107319","https://www.scopus.com/authid/detail.url?authorId=57221107319","Universitas Negeri Surabaya",""
"Patria, Asidigisianti Surya","3","2025","1","0.3","0.16","1","0","2025","59959169300","https://www.scopus.com/authid/detail.url?authorId=59959169300","Universitas Negeri Surabaya","0009-0009-6216-6130"
"Widayati, Sri","3","2025","4","1.3","0.18","1","0","2023","57221830142","https://www.scopus.com/authid/detail.url?authorId=57221830142","Universitas Negeri Surabaya","0000-0001-9938-6318"
"Aji, G. G.","3","2018","10","3.3","0.54","2","0","2018","57201197061","https://www.scopus.com/authid/detail.url?authorId=57201197061","Universitas Negeri Surabaya",""
"Ranu, Meylia Elizabeth","3","2026","7","2.3","0.30","2","1","2021","57225094621","https://www.scopus.com/authid/detail.url?authorId=57225094621","Universitas Negeri Surabaya",""
"Laksono, Ivan Kurnia","3","2022","11","3.7","0.33","2","0","2020","57280278900","https://www.scopus.com/authid/detail.url?authorId=57280278900","Universitas Negeri Surabaya",""
"Cahyo, Anggoro Abiyyu Ristio","3","2026","1","0.3","1.39","1","2","2025","59781500800","https://www.scopus.com/authid/detail.url?authorId=59781500800","Universitas Negeri Surabaya",""
"Kartika, Hendra","3","2023","12","4.0","0.80","2","0","2023","57201670173","https://www.scopus.com/authid/detail.url?authorId=57201670173","University of Singaperbangsa Karawang","0000-0003-3720-1677"
"Ibrahim, M.","3","2018","25","8.3","1.82","2","1","2018","57202144494","https://www.scopus.com/authid/detail.url?authorId=57202144494","Universitas Negeri Surabaya",""
"Wibawa, Ramadhan Cakra","3","2025","7","2.3","2.10","2","1","2018","57200571569","https://www.scopus.com/authid/detail.url?authorId=57200571569","Universitas Negeri Surabaya",""
"Listyani, Refti Handini","3","2025","4","1.3","0.62","2","0","2018","57201199632","https://www.scopus.com/authid/detail.url?authorId=57201199632","Universitas Negeri Surabaya","0000-0001-6961-4949"
"Kusumawati, R. P.","3","2020","60","20.0","2.96","2","1","2019","57212451014","https://www.scopus.com/authid/detail.url?authorId=57212451014","Universitas Negeri Surabaya",""
"Afnan, Muhammad Zahrudin","3","2025","1","0.3","0.50","1","0","2024","59150305300","https://www.scopus.com/authid/detail.url?authorId=59150305300","Universitas Negeri Surabaya",""
"Kurnila, Valeria Suryani","3","2025","2","0.7","0.38","3","0","2025","57211212702","https://www.scopus.com/authid/detail.url?authorId=57211212702","Universitas Negeri Surabaya","0000-0002-6571-5918"
"Fudhaili, Ahmad","3","2024","2","0.7","0.69","2","0","2023","57190953696","https://www.scopus.com/authid/detail.url?authorId=57190953696","Syarif Hidayatullah State Islamic University","0000-0002-1191-2553"
"Ramadani, Ali Hasbi","3","2025","0","0.0","0.00","2","0","2025","57213593576","https://www.scopus.com/authid/detail.url?authorId=57213593576","Universitas Negeri Surabaya","0000-0003-1563-4041"
"Abdullah, Agum Pratama Fasya","3","2025","1","0.3","0.26","1","0","2025","60334478400","https://www.scopus.com/authid/detail.url?authorId=60334478400","Universitas Negeri Surabaya","0009-0000-6597-2749"
"Sanaji,","3","2024","2","0.7","0.00","1","0","2018","57205619105","https://www.scopus.com/authid/detail.url?authorId=57205619105","Universitas Negeri Surabaya",""
"Hardika, Meilita","3","2025","2","0.7","0.51","1","0","2025","58198460600","https://www.scopus.com/authid/detail.url?authorId=58198460600","Universitas Negeri Surabaya",""
"Setyowidodo, Irwan","3","2020","12","4.0","0.99","4","0","2017","57196246846","https://www.scopus.com/authid/detail.url?authorId=57196246846","Unknown affiliation","0000-0003-2863-7284"
"Niswah, F.","3","2022","7","2.3","0.90","2","0","2018","57217603378","https://www.scopus.com/authid/detail.url?authorId=57217603378","Universitas Negeri Surabaya","0000-0002-2792-2908"
"Ramadhani, Bima Yatna Anugerah","3","2025","2","0.7","0.29","1","0","2024","57220054865","https://www.scopus.com/authid/detail.url?authorId=57220054865","Universitas Negeri Surabaya","0009-0008-3437-2271"
"Nugroho, Aji","3","2025","1","0.3","0.04","1","0","2024","59508074500","https://www.scopus.com/authid/detail.url?authorId=59508074500","Universitas Negeri Surabaya",""
"Khotimah, Chusnul K.","3","2020","45","15.0","3.83","7","2","2018","57198496528","https://www.scopus.com/authid/detail.url?authorId=57198496528","National Taiwan University of Science and Technology",""
"Hartono, Ulil","3","2025","23","7.7","0.49","2","0","2018","57203518030","https://www.scopus.com/authid/detail.url?authorId=57203518030","Universitas Negeri Surabaya","0000-0002-8155-6021"
"Isbanah, Yuyun","3","2025","15","5.0","0.52","2","0","2018","57203515026","https://www.scopus.com/authid/detail.url?authorId=57203515026","Universitas Negeri Surabaya","0000-0003-2793-8413"
"Elfaiz, Ersha Aisyah","3","2025","1","0.3","1.03","1","1","2025","57222610545","https://www.scopus.com/authid/detail.url?authorId=57222610545","Universitas Negeri Surabaya","0009-0005-9721-106X"
"Utami, D. A.","3","2025","3","1.0","0.36","1","0","2018","58384471600","https://www.scopus.com/authid/detail.url?authorId=58384471600","Universitas Negeri Surabaya",""
"Roqobih, Fikky Dian","3","2025","6","2.0","0.60","1","0","2019","57214090075","https://www.scopus.com/authid/detail.url?authorId=57214090075","Universitas Negeri Surabaya",""
"Hermawan, E. S.","3","2022","0","0.0","0.00","0","0","2018","57201200506","https://www.scopus.com/authid/detail.url?authorId=57201200506","Universitas Negeri Surabaya",""
"Prakoso, Irvan","3","2020","16","5.3","1.21","3","1","2019","57217898475","https://www.scopus.com/authid/detail.url?authorId=57217898475","Universitas Sebelas Maret",""
"Fathoni, Ali Nur","3","2026","1","0.3","0.19","1","1","2024","57220047170","https://www.scopus.com/authid/detail.url?authorId=57220047170","Universitas Negeri Surabaya","0009-0002-2933-0727"
"Kurniawan, Muhammad Ridho Hafid","3","2025","2","0.7","0.37","1","0","2023","58504727900","https://www.scopus.com/authid/detail.url?authorId=58504727900","Universitas Negeri Surabaya",""
"Ekawati, Aminah","3","2025","2","0.7","0.31","2","0","2025","59546820000","https://www.scopus.com/authid/detail.url?authorId=59546820000","Unknown affiliation","0009-0008-5596-9579"
"Jacky, Muhammad","3","2020","2","0.7","0.16","1","0","2015","57191228821","https://www.scopus.com/authid/detail.url?authorId=57191228821","Universitas Negeri Surabaya",""
"Suyanto, Totok","3","2020","6","2.0","0.68","2","0","2018","57201195528","https://www.scopus.com/authid/detail.url?authorId=57201195528","Universitas Negeri Surabaya",""
"Citra, Nina Fajriyah","3","2023","22","7.3","0.94","2","0","2022","57808701300","https://www.scopus.com/authid/detail.url?authorId=57808701300","Universitas Negeri Surabaya","0000-0003-2665-0012"
"Fadila, Syananda Zahra","3","2025","0","0.0","0.00","0","0","2023","58073088500","https://www.scopus.com/authid/detail.url?authorId=58073088500","Universitas Negeri Surabaya",""
"Septiyanti, Nisa Dwi","3","2025","0","0.0","0.00","1","0","2025","59245618200","https://www.scopus.com/authid/detail.url?authorId=59245618200","Universitas Negeri Surabaya","0000-0001-7621-9082"
"Lukitasari, Febriani","3","2025","11","3.7","0.65","1","0","2018","57201079461","https://www.scopus.com/authid/detail.url?authorId=57201079461","Universitas Negeri Surabaya",""
"Mudzakkir, Moh","3","2023","6","2.0","0.70","2","0","2018","57201200808","https://www.scopus.com/authid/detail.url?authorId=57201200808","Universitas Negeri Surabaya",""
"Indarwati, Tias Andarini","3","2024","1","0.3","0.23","1","0","2018","57204907141","https://www.scopus.com/authid/detail.url?authorId=57204907141","Universitas Negeri Surabaya",""
"Purbodjati,","3","2024","49","16.3","1.40","1","1","2021","57223343439","https://www.scopus.com/authid/detail.url?authorId=57223343439","Universitas Negeri Surabaya",""
"Hidajati, Nurul","3","2019","6","2.0","0.10","1","0","2018","57195997580","https://www.scopus.com/authid/detail.url?authorId=57195997580","Universitas Negeri Surabaya",""
"Wicaksono, Ardian Yusuf","3","2020","22","7.3","1.21","5","0","2018","57200570455","https://www.scopus.com/authid/detail.url?authorId=57200570455","Telkom University","0000-0002-9190-5459"
"Aulia, Salma Shafrina","3","2025","26","8.7","0.79","3","0","2024","57240078500","https://www.scopus.com/authid/detail.url?authorId=57240078500","Universitas Negeri Surabaya",""
"Ramadhona, Rezky","3","2025","1","0.3","0.30","1","0","2023","58796584600","https://www.scopus.com/authid/detail.url?authorId=58796584600","Unknown affiliation",""
"Fitro, Achmad","3","2026","2","0.7","0.46","2","1","2024","57201646218","https://www.scopus.com/authid/detail.url?authorId=57201646218","Universitas Negeri Surabaya","0000-0002-0611-3343"
"Arista, Devi Maya","3","2025","0","0.0","0.00","0","0","2024","59276067700","https://www.scopus.com/authid/detail.url?authorId=59276067700","Universitas Negeri Surabaya",""
"Jacobis, Riedel Paulus","3","2026","0","0.0","0.00","1","1","2024","58757406000","https://www.scopus.com/authid/detail.url?authorId=58757406000","Universitas Negeri Surabaya","0009-0009-9702-3279"
"Pattisinai, A. R.","3","2024","3","1.0","0.20","1","0","2020","57218368528","https://www.scopus.com/authid/detail.url?authorId=57218368528","The University of Auckland",""
"Wibisono, R. Endro","3","2024","3","1.0","0.00","2","0","2020","57211374278","https://www.scopus.com/authid/detail.url?authorId=57211374278","Universitas Negeri Surabaya","0000-0002-9704-2797"
"Alifteria, Faradila Aulia","3","2023","7","2.3","0.59","2","0","2021","57376975500","https://www.scopus.com/authid/detail.url?authorId=57376975500","Universitas Negeri Surabaya",""
"Pudjijuniarto, Pudjijuniarto","3","2025","4","1.3","0.39","2","0","2024","58992182100","https://www.scopus.com/authid/detail.url?authorId=58992182100","Universitas Negeri Surabaya","0009-0005-5911-3071"
"Beny, Acep Ovel Novari","3","2024","1","0.3","0.05","1","0","2024","59460829800","https://www.scopus.com/authid/detail.url?authorId=59460829800","Universitas Negeri Surabaya",""
"Afdholy, Nadya","3","2022","7","2.3","0.92","3","1","2022","57931856500","https://www.scopus.com/authid/detail.url?authorId=57931856500","Universitas Airlangga","0000-0001-9963-4270"
"Imaduddin, Muhammad Hanif","3","2024","2","0.7","0.30","1","0","2020","60345104800","https://www.scopus.com/authid/detail.url?authorId=60345104800","Universitas Sebelas Maret",""
"Hidayatulloh, Muhammad Kris Yuan","3","2025","1","0.3","1.58","2","1","2025","57886885900","https://www.scopus.com/authid/detail.url?authorId=57886885900","Universitas Negeri Surabaya","0000-0003-4469-2849"
"Nasution,","3","2025","13","4.3","0.47","1","0","2018","57201200186","https://www.scopus.com/authid/detail.url?authorId=57201200186","Universitas Negeri Surabaya",""
"Zakaria, A.","3","2024","2","0.7","0.84","1","0","2023","57225363022","https://www.scopus.com/authid/detail.url?authorId=57225363022","Universitas Negeri Surabaya",""
"Samik, Samik","3","2025","6","2.0","0.13","1","0","2023","58749548000","https://www.scopus.com/authid/detail.url?authorId=58749548000","Universitas Negeri Surabaya",""
"Putra, Bima Anggana Widhiarta","3","2026","0","0.0","0.00","0","1","2025","60115820300","https://www.scopus.com/authid/detail.url?authorId=60115820300","Universitas Negeri Surabaya","0009-0008-6336-0181"
"Sulung, Cahya Ajeng Valenta Tresna","3","2025","3","1.0","0.43","1","0","2024","59295129500","https://www.scopus.com/authid/detail.url?authorId=59295129500","Universitas Negeri Surabaya",""
"Tandyonomanu, D.","3","2018","12","4.0","0.39","1","0","2018","57200570794","https://www.scopus.com/authid/detail.url?authorId=57200570794","Universitas Negeri Surabaya","0000-0002-6290-748X"
"Muhimmah, Hitta Alfi","3","2025","5","1.7","0.30","1","0","2022","57732798000","https://www.scopus.com/authid/detail.url?authorId=57732798000","Universitas Negeri Surabaya","0009-0005-5670-2057"
"Yohanes, Budinuryanta","3","2023","8","2.7","0.66","2","0","2022","57919875900","https://www.scopus.com/authid/detail.url?authorId=57919875900","Universitas Negeri Surabaya",""
"Wati, Isti Dwi Puspita","3","2024","14","4.7","0.61","8","0","2024","58040445300","https://www.scopus.com/authid/detail.url?authorId=58040445300","Tanjungpura University","0000-0002-5315-536X"
"Syafiq, Muhammad","3","2024","16","5.3","0.44","2","0","2019","58781448900","https://www.scopus.com/authid/detail.url?authorId=58781448900","Universitas Negeri Surabaya","0000-0001-5381-5412"
"Herista, Sevesti Violin Wilujeng","3","2025","4","1.3","0.59","1","0","2024","59362594000","https://www.scopus.com/authid/detail.url?authorId=59362594000","Universitas Negeri Surabaya","0009-0003-7975-3776"
"Permatasari, Ika","3","2026","60","20.0","1.90","2","3","2022","57264056700","https://www.scopus.com/authid/detail.url?authorId=57264056700","Universitas Negeri Surabaya",""
"Nugraha, Testa Adi","3","2025","0","0.0","0.00","0","0","2023","58779215500","https://www.scopus.com/authid/detail.url?authorId=58779215500","Universitas Negeri Surabaya",""
"Avandi, Raymond Ivano","3","2025","8","2.7","1.00","2","0","2021","57222178832","https://www.scopus.com/authid/detail.url?authorId=57222178832","Universitas Negeri Surabaya","0009-0000-8088-7251"
"Mauludi, L. D.","3","2025","1","0.3","0.34","1","0","2023","58761007400","https://www.scopus.com/authid/detail.url?authorId=58761007400","Universitas Negeri Surabaya",""
"Dewi, Damajanti Kusuma","3","2026","11","3.7","0.37","2","1","2019","57211532168","https://www.scopus.com/authid/detail.url?authorId=57211532168","Universitas Negeri Surabaya",""
"Fauzi, Agus Machfud","3","2025","2","0.7","0.09","1","0","2018","57211877409","https://www.scopus.com/authid/detail.url?authorId=57211877409","Universitas Negeri Surabaya","0000-0003-4066-4365"
"Kustini, Indiah","3","2019","3","1.0","0.03","1","0","2018","57210920345","https://www.scopus.com/authid/detail.url?authorId=57210920345","Universitas Negeri Surabaya",""
"Zulfikar, Anggi Rahmad","3","2026","0","0.0","0.00","0","1","2024","59043639800","https://www.scopus.com/authid/detail.url?authorId=59043639800","Universitas Negeri Surabaya",""
"Marzuqi, Muhammad Ilyas","3","2025","2","0.7","0.44","1","0","2024","59321293900","https://www.scopus.com/authid/detail.url?authorId=59321293900","Universitas Negeri Surabaya",""
"Zain, I. M.","3","2018","16","5.3","1.14","3","1","2018","57201200080","https://www.scopus.com/authid/detail.url?authorId=57201200080","Universitas Negeri Surabaya",""
"Saudi, La","3","2025","1","0.3","0.18","1","0","2025","57222709800","https://www.scopus.com/authid/detail.url?authorId=57222709800","Universitas Negeri Surabaya","0000-0001-5073-1096"
"Hendarwati, Endah","3","2021","42","14.0","0.89","3","0","2021","57209827430","https://www.scopus.com/authid/detail.url?authorId=57209827430","Unknown affiliation",""
"Hermanto, Febrika Yogie","3","2025","6","2.0","0.48","1","0","2021","57225098223","https://www.scopus.com/authid/detail.url?authorId=57225098223","Universitas Negeri Surabaya","0000-0002-4982-1702"
"Purwanto, Aris","3","2025","2","0.7","0.29","6","0","2025","57203961388","https://www.scopus.com/authid/detail.url?authorId=57203961388","Universitas Negeri Surabaya","0000-0002-9283-0698"
"Mahendra, Angga Martha","3","2025","0","0.0","0.00","3","0","2024","57218953315","https://www.scopus.com/authid/detail.url?authorId=57218953315","Universitas Negeri Surabaya","0000-0003-2689-3794"
"Susanto, Susanto","3","2022","4","1.3","0.06","8","0","2021","57211248440","https://www.scopus.com/authid/detail.url?authorId=57211248440","University of Jember","0000-0003-0897-1592"
"Susilo, Heryanto","3","2026","0","0.0","0.00","1","1","2019","57216226204","https://www.scopus.com/authid/detail.url?authorId=57216226204","Universitas Negeri Surabaya","0000-0001-8490-5859"
"Puspita, Ari Metalin Ika","3","2025","4","1.3","4.87","1","2","2025","59699135300","https://www.scopus.com/authid/detail.url?authorId=59699135300","Universitas Negeri Surabaya","0009-0005-8602-4912"
"Sulandari, Lilis","3","2022","0","0.0","0.00","0","0","2019","57212254259","https://www.scopus.com/authid/detail.url?authorId=57212254259","Universitas Negeri Surabaya",""
"Wahyuni, Reny","3","2025","15","5.0","1.77","3","0","2024","57820639800","https://www.scopus.com/authid/detail.url?authorId=57820639800","Universitas Negeri Surabaya","0000-0002-7550-7215"
"Shobah, Nuris","3","2024","7","2.3","1.27","2","1","2022","58036715900","https://www.scopus.com/authid/detail.url?authorId=58036715900","Universitas Negeri Surabaya",""
"Suningsih, Ari","3","2025","0","0.0","0.00","1","0","2023","58406704900","https://www.scopus.com/authid/detail.url?authorId=58406704900","University of Muhammadiyah Pringsewu",""
"Oktafiolita, Anggraini","3","2025","0","0.0","0.00","0","0","2024","59674796100","https://www.scopus.com/authid/detail.url?authorId=59674796100","Universitas Negeri Surabaya",""
"Budiyono, Budiyono","3","2021","5","1.7","0.69","18","0","2021","55191250000","https://www.scopus.com/authid/detail.url?authorId=55191250000","Universitas Diponegoro","0000-0001-6137-1495"
"Koestiari, Toeti","3","2018","37","12.3","1.95","3","1","2014","56175814900","https://www.scopus.com/authid/detail.url?authorId=56175814900","Universitas Negeri Surabaya",""
"Sholikhah, Ni’matush","3","2020","7","2.3","0.00","2","0","2016","57190571056","https://www.scopus.com/authid/detail.url?authorId=57190571056","Universitas Negeri Surabaya","0000-0003-2050-8509"
"Rahmatullah, Daeng Catur Dharma","3","2025","0","0.0","0.00","2","0","2025","57193251830","https://www.scopus.com/authid/detail.url?authorId=57193251830","Universitas Negeri Surabaya",""
"Muadhif, Fariz Irkham","3","2024","5","1.7","0.42","2","0","2023","58821604300","https://www.scopus.com/authid/detail.url?authorId=58821604300","Bandung Institute of Technology",""
"Suprijono, Agus","3","2025","2","0.7","0.25","1","0","2015","60120856400","https://www.scopus.com/authid/detail.url?authorId=60120856400","Universitas Negeri Surabaya",""
"Lestari, N. D.S.","3","2019","32","10.7","2.76","6","1","2018","57202315003","https://www.scopus.com/authid/detail.url?authorId=57202315003","University of Jember","0000-0002-9526-8055"
"Dwiningsih, Kusumawati","3","2022","19","6.3","0.65","3","0","2018","57203260730","https://www.scopus.com/authid/detail.url?authorId=57203260730","Universitas Negeri Surabaya","0000-0003-4456-5065"
"Lestariningsih, L.","3","2026","2","0.7","0.18","2","1","2018","57205025611","https://www.scopus.com/authid/detail.url?authorId=57205025611","Universitas Negeri Surabaya","0000-0002-0874-8537"
"Suwardiah, Dwi Kristiastuti","3","2019","1","0.3","0.00","1","0","2019","57212240661","https://www.scopus.com/authid/detail.url?authorId=57212240661","Universitas Negeri Surabaya",""
"Sasanti, Nise Samudra","3","2023","6","2.0","0.81","2","1","2018","57215913542","https://www.scopus.com/authid/detail.url?authorId=57215913542","Universitas Negeri Surabaya",""
"Primanata, Dani","3","2025","1","0.3","0.34","1","0","2023","58679233500","https://www.scopus.com/authid/detail.url?authorId=58679233500","Universitas Negeri Surabaya",""
"Lailiah, Novianti","3","2025","1","0.3","0.34","1","0","2025","58945926100","https://www.scopus.com/authid/detail.url?authorId=58945926100","Universitas Negeri Surabaya","0000-0002-5951-3025"
"Vebibina, Almaida","3","2026","9","3.0","1.62","2","2","2024","59441935100","https://www.scopus.com/authid/detail.url?authorId=59441935100","State University of Medan","0009-0005-1300-2202"
"Suprapto, Firre An","3","2026","6","2.0","0.40","3","1","2023","57224619135","https://www.scopus.com/authid/detail.url?authorId=57224619135","Universitas Negeri Surabaya","0009-0003-2160-0996"
"Nurlaili, E. I.","3","2025","12","4.0","0.53","2","0","2022","57571419600","https://www.scopus.com/authid/detail.url?authorId=57571419600","Universitas Negeri Surabaya","0000-0002-3932-5895"
"Widodo, Hananto","3","2025","6","2.0","0.50","2","0","2018","58869921900","https://www.scopus.com/authid/detail.url?authorId=58869921900","Universitas Negeri Surabaya",""
"Kholidya, Citra Fitri","3","2025","2","0.7","0.43","1","0","2024","59234329300","https://www.scopus.com/authid/detail.url?authorId=59234329300","Universitas Negeri Surabaya",""
"Ramadhani, Humayyun Nabila","3","2024","0","0.0","0.00","0","0","2023","58777035700","https://www.scopus.com/authid/detail.url?authorId=58777035700","Universitas Negeri Surabaya",""
"Susanti, Reni Dwi","3","2024","4","1.3","0.28","1","0","2023","57211859209","https://www.scopus.com/authid/detail.url?authorId=57211859209","Universitas Muhammadiyah Malang","0000-0001-7227-1895"
"Susanti, Nur Aini","3","2025","0","0.0","0.00","0","0","2019","57212308761","https://www.scopus.com/authid/detail.url?authorId=57212308761","Universitas Negeri Surabaya",""
"Ridassepri, Arikasuci Fitonna","3","2025","5","1.7","0.34","4","0","2024","57219230609","https://www.scopus.com/authid/detail.url?authorId=57219230609","Universitas Negeri Surabaya","0000-0002-9562-2288"
"Pamuji, Pamuji","3","2025","1","0.3","0.03","1","0","2022","57863859900","https://www.scopus.com/authid/detail.url?authorId=57863859900","Universitas Negeri Surabaya",""
"Parnaningroem, Raden Roro Dyah Woroharsi","3","2025","5","1.7","1.91","1","2","2023","58209313700","https://www.scopus.com/authid/detail.url?authorId=58209313700","Universitas Negeri Surabaya",""
"Kusuma, A. E.","3","2020","7","2.3","1.01","2","0","2020","57214128557","https://www.scopus.com/authid/detail.url?authorId=57214128557","Unknown affiliation","0000-0002-6218-9457"
"Hakim, Septian Rahman","3","2020","6","2.0","1.01","2","0","2020","57214705909","https://www.scopus.com/authid/detail.url?authorId=57214705909","Yogyakarta State University","0000-0002-0875-7847"
"Jaro'ah, Siti","3","2025","3","1.0","0.13","1","0","2023","58837752600","https://www.scopus.com/authid/detail.url?authorId=58837752600","Universitas Negeri Surabaya","0000-0002-6923-883X"
"Sisephaputra, Bonda","3","2025","0","0.0","0.00","1","0","2023","57200535816","https://www.scopus.com/authid/detail.url?authorId=57200535816","Universitas Negeri Surabaya","0009-0005-4411-6034"
"Supriyanto, null","3","2025","4","1.3","0.16","1","0","2019","57731799100","https://www.scopus.com/authid/detail.url?authorId=57731799100","Universitas Negeri Surabaya","0000-0003-4281-243X"
"Estiningtyas, Indri Wasa","3","2025","6","2.0","0.14","1","0","2023","58696458100","https://www.scopus.com/authid/detail.url?authorId=58696458100","Universitas Negeri Surabaya",""
