title,authors,number of authors,scopus author ids,year,full date,scopus source title,volume,issue,pages,article number,issn,source id,source type,language,snip (publication year),snip percentile (publication year) *,citescore (publication year),citescore percentile (publication year) *,sjr (publication year),sjr percentile (publication year) *,field-weighted view impact,views,citations,field-weighted citation impact,field-citation average,"outputs in top citation percentiles, per percentile","field-weighted outputs in top citation percentiles, per percentile",main patent families,policy citations,reference,abstract_x,doi,publication type,open access,eid,pubmed id,institutions,number of institutions,scopus affiliation ids,scopus affiliation names,scopus author id first author,scopus author id last author,scopus author id corresponding author,scopus author id single author,country/region,number of countries/regions,all science journal classification (asjc) code,all science journal classification (asjc) field name,quacquarelli symonds (qs) subject area code,quacquarelli symonds (qs) subject area field name,quacquarelli symonds (qs) subject code,quacquarelli symonds (qs) subject field name,times higher education (the) code,times higher education (the) field name,anzsrc for (2020) parent code,anzsrc for (2020) parent name,anzsrc for (2020) code,anzsrc for (2020) name,sustainable development goals (2025),topic cluster name,topic cluster number,topic cluster prominence percentile,topic name,topic number,topic prominence percentile,publication link to topic strength,abstract_y,status
A conceptual framework of STEM education based on the Indonesian Curriculum,"Sujarwanto, E.| Madlazim| Sanjaya, I.G.M.",3.0,57214072543| 55001810400| 57226515117,2021.0,2021-01-27,Journal of Physics: Conference Series,1760,1,-,012022,ISSN-17426588,130053.0,Conference Proceeding,English,0.4,71,0.8,82,-,-,2.78,50.0,7.0,3.09,1.94,41.0,7.0,0.0,0.0,"Sujarwanto, E., Madlazim, Sanjaya, I.G.M. (2021).A conceptual framework of STEM education based on the Indonesian Curriculum. Journal of Physics: Conference Series,1760(1) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85102401495&origin=resultslist,10.1088/1742-6596/1760/1/012022,Conference Paper,Gold,2-s2.0-85102401495,-,Universitas Negeri Surabaya,1.0,101242639| 60105082,Siliwangi University| Universitas Negeri Surabaya,57214072543,57226515117,57214072543,-,Indonesia,1.0,3100,General Physics and Astronomy,4,Natural Sciences,439,Physics & Astronomy,37,Physical Sciences,51,Physical Sciences,-,-,SDG 4| SDG 8,Integrating Science Education for Student Success,310,75.801,Interdisciplinary Approaches in STEM Education,1687,99.009,Definitive,"Technological and economic developments through the industrial revolution 4.0 motivate the Indonesian education sector to prepare students for this challenge. One of the efforts is to use STEM-based learning. Existing activities and research have demonstrated interdisciplinary integration in STEM education, but it is not clear yet. Besides, STEM education needs to be suited to Indonesian Policy and Curriculum related to science, technology, and mathematic. Thus, STEM education practice needs a conceptual framework. We use the literature review method. We examine education policy in Indonesia and research related to STEM education to create a conceptual framework for STEM education. The result is a proposed conceptual framework that suggests the practice of STEM education must know and maintain the principles of science, technology, and mathematics based on the characteristic of the Indonesian Curriculum. Also, the practice of STEM education needs to pay attention to the interrelationship of the four STEM disciplines, involve the engineering design process, involve the community of practice, and use a supportive learning model. Although this conceptual framework is theoretical, it could be useful in deciding a sufficient practice of STEM Education in Indonesia and designing appropriate activities in practising integrated STEM Learning.",ok
Artificial Intelligence Research during COVID-19 Pandemic: Contributed to Future Education,"Nurhasan| Prahani, B.K.| Suprapto, N.| Ardha, M.A.A.",4.0,57219319997| 57207944019| 57163917500| 57476924200,2022.0,2022-07-01,International Journal of Instruction,15,3,229-248,-,ISSN-1694609X,21100297818.0,Journal,English,1.49,13,4.3,20,0.612,29,2.81,90.0,7.0,0.94,7.44,34.0,31.0,0.0,0.0,"Nurhasan, Prahani, B.K., Suprapto, N. and 1 more (...) (2022).Artificial Intelligence Research during COVID-19 Pandemic: Contributed to Future Education. International Journal of Instruction,15(3) 229-248",https://www.scopus.com/record/display.url?eid=2-s2.0-85134666133&origin=resultslist,10.29333/iji.2022.15313a,Article,Gold,2-s2.0-85134666133,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57219319997,57476924200,-,-,Indonesia,1.0,3304,Education,3,Social Sciences & Management,318,Education & Training,41,Education Studies,39,Education,3903,Education systems,SDG 3,Peer Review Dynamics in Biomedical Research Networks,101,86.593,Mapping Scientific Knowledge through Citation Networks,10170,91.742,Weak,"Besides being able to cause death, it turns out that the COVID-19 pandemic has caused problems in various sectors, including education, health, and Social Life. In addition, the COVID-19 pandemic also has an impact on the field of research, including the field of Artificial Intelligence (AI) which has become an interesting issue in the era of the Industrial Revolution 4.0. Based on Scopus data (search by article title, abstract, and keywords), it shows that there are 381,691 documents. Results of Bibliometric through VOSViewer found some parameters or interrelationships among variables to capture the trend and novelty of researching on AI During COVID-19 Pandemic, such as researching on AI During COVID-19 Pandemic and technology, detection, patient, diagnosis, performance, radiologist, feature, education, and image. Implication research in general evidence, (1) AI researchers have bright career opportunities in the present and the future. This is evident from the condition of the central role of AI in all lines of human life, (2) The trend of AI research is also classified as having a very large contribution to have entered various fields during the COVID-19 pandemic. (3) Including the prevention of COVID-19 transmission with AI, various tools and media have emerged in the medical world that provides many benefits. (4) AI needs more exploration in education field research. In the last five years, AI has made a major contribution advancing the field of education.",ok
An Analysis of the Distribution Map of Physical Education Learning Motivation through Rasch Modeling in Elementary School,"Nur, L.| Yulianto, A.| Suryana, D.| Malik, A.A.| Al Ardha, M.A.| Hong, F.",6.0,57193789589| 57560440800| 57211229486| 57218894928| 57476924200| 38961435900,2022.0,2022-04-01,International Journal of Instruction,15,2,815-830,-,ISSN-1694609X,21100297818.0,Journal,English,1.49,13,4.3,20,0.612,29,0.84,27.0,7.0,0.94,7.44,34.0,31.0,0.0,0.0,"Nur, L., Yulianto, A., Suryana, D. and 3 more (...) (2022).An Analysis of the Distribution Map of Physical Education Learning Motivation through Rasch Modeling in Elementary School. International Journal of Instruction,15(2) 815-830",https://www.scopus.com/record/display.url?eid=2-s2.0-85127461798&origin=resultslist,10.29333/iji.2022.15244a,Article,Gold,2-s2.0-85127461798,-,Bangor University| Universitas Negeri Surabaya| Indonesia University of Education,3.0,60103797| 114230662| 60105082| 60025779,Universitas Pendidikan Indonesia| Universitas Siliwangi| Universitas Negeri Surabaya| Bangor University,57193789589,38961435900,-,-,Indonesia| United Kingdom,2.0,3304,Education,3,Social Sciences & Management,318,Education & Training,41,Education Studies,39,Education,3903,Education systems,SDG 4,Psychometrics and Rasch Analysis in Education Assessment,1298,20.994,Rasch Measurement Models in Psychometric Evaluation,8153,89.345,Very Good,"The distribution map of physical education learning motivation could provide information about the electability of motivational items (questionnaires) distributed to several elementary school students. In more detail, this study would analyze the grouping of the electability level of physical education learning motivation items in elementary schools through a combination of standard deviation (SD) values and logit mean scores. Twenty-one students aged 13-14 years participated in this study by filling out a motivation to learn physical education questionnaire. The data analysis technique was performed through Rasch modeling assisted by the Winsteps 3.75 application. The results indicated that there were variations in the level of electability of physical education learning motivation items. The grouping was based on several item categories, including extremely difficult to get elected item category with a logit value greater than + 1SD; difficult to get elected item category with a value of 0.0 logit +1 SD; easy to get elected item category with a value of 0.0 logit -1 SD; and extremely easy to get elected item category with a value smaller than -SD. An ideal set of motivation items could identify the various motivations of students with diverse levels of motivation.",ok
Preparation and characterization of goatskin gelatin as halal alternative to bovine gelatin,"Bahar, A.| Kusumawati, N.| Muslim, S.",3.0,57189388799| 56386061900| 57188724366,2020.0,2020-01-01,Rasayan Journal of Chemistry,13,1,85-98,-,ISSN-09741496,19400157518.0,Journal,English,0.86,40,2.1,44,0.281,47,0.99,29.0,7.0,0.39,10.13,45.0,53.0,0.0,0.0,"Bahar, A., Kusumawati, N., Muslim, S. (2020).Preparation and characterization of goatskin gelatin as halal alternative to bovine gelatin. Rasayan Journal of Chemistry,13(1) 85-98",https://www.scopus.com/record/display.url?eid=2-s2.0-85077450679&origin=resultslist,10.31788/RJC.2019.1245409,Article,Gold,2-s2.0-85077450679,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57189388799,57188724366,56386061900,-,Indonesia,1.0,1303| 1500| 1600| 2100| 3000,"Biochemistry| General Chemical Engineering| General Chemistry| General Energy| General Pharmacology, Toxicology and Pharmaceutics",5| 2| 4,Life Sciences & Medicine| Engineering & Technology| Natural Sciences,221| 537| 409| 219| 507| 249,Engineering - Electrical & Electronic| Pharmacy & Pharmacology| Chemistry| Engineering - Chemical| Biological Sciences| Engineering - Petroleum,36| 37| 32| 34,Engineering| Physical Sciences| Life Sciences| Medical and Health,51| 34| 32,Physical Sciences| Chemical Sciences| Biomedical And Clinical Sciences,5199| 3214| 3405,Other physical sciences| Pharmacology and pharmaceutical sciences| Organic chemistry,-,Nanofibers and Their Multifunctional Applications,176,94.048,Properties and Applications of Fish Skin Gelatin,10083,96.079,Definitive,"Goatskin gelatin (GSG) produced with and without neutralization using hydrochloric acid 0,1 N and different extraction temperatures have been prepared. The physicochemical, mechanical and organoleptic properties are characterized and compared as an alternative to bovine skin gelatin. Application of neutralization using HCl 0.1 N with longest neutralization time (25 minutes) has significantly decreased water content (11.60% to 5.00%), pH levels (7.44 to 6.06), viscosity (35.0 mps to 8.8 mps), and gel strength (0 bloom-75 bloom), while ash content and yield increased, each was 2.01% to 2.28% and 8.95% to 10.41%. There was no significant change in the organoleptic properties of gelatin. Meanwhile, the combination of a specific extraction temperature increase (64 °C and 68 °C) and longest neutralization time has increased gelatin yield (5.95% to 10.41%), water content (3.09% to 7.63%) as well as viscosity (7.5 mps to 8.8 mps), and decreased ash content (3.81% to 2.28%), pH level (6.52 to 6.06) also gel strength (218.66 bloom to 20.0 bloom). It is also not found changes in organoleptic properties in this condition, especially taste and vapor. Nevertheless, brighter colors (higher L* values) in goatskin gelatin were produced from moderate neutralization time and extraction temperatures.",ok
Hydrogen-bonded cytosine-endowed supramolecular polymeric nanogels: Highly efficient cancer cell targeting and enhanced therapeutic efficacy,"Fan, W.-L.| Huang, S.-Y.| Yang, X.-J.| Bintang Ilhami, F.| Chen, J.-K.| Cheng, C.-C.",6.0,57194339925| 57193494188| 57193014719| 57217535161| 7501900889| 24466350300,2024.0,2024-07-01,Journal of Colloid and Interface Science,665,-,329-344,-,ISSN-00219797,26950.0,Journal,English,1.32,17,18.5,5,1.885,7,1.66,21.0,7.0,1.08,6.46,12.0,27.0,0.0,0.0,"Fan, W.-L., Huang, S.-Y., Yang, X.-J. and 3 more (...) (2024).Hydrogen-bonded cytosine-endowed supramolecular polymeric nanogels: Highly efficient cancer cell targeting and enhanced therapeutic efficacy. Journal of Colloid and Interface Science,665329-344",https://www.scopus.com/record/display.url?eid=2-s2.0-85188949822&origin=resultslist,10.1016/j.jcis.2024.03.154,Article,,2-s2.0-85188949822,38531278,National Taiwan University of Science and Technology| Universitas Negeri Surabaya,2.0,60027709| 60105082,National Taiwan University of Science and Technology| Universitas Negeri Surabaya,57194339925,24466350300,24466350300,-,Taiwan| Indonesia,2.0,1505| 2502| 2504| 2508,"Colloid and Surface Chemistry| Biomaterials| Electronic, Optical and Magnetic Materials| Surfaces, Coatings and Films",2| 4,Engineering & Technology| Natural Sciences,219| 433,Engineering - Chemical| Materials Science,36,Engineering,51| 34| 40,Physical Sciences| Chemical Sciences| Engineering,-,-,SDG 3,Multifunctional Nanoparticles in Cancer Treatment,129,98.561,Targeted Drug Delivery Using Smart Nanocarriers,284,99.699,Definitive,"We demonstrate that cytosine moieties within physically cross-linked supramolecular polymers not only manipulate drug delivery and release, but also confer specific targeting of cancer cells to effectively enhance the safety and efficacy of chemotherapy—and thus hold significant potential as a new perspective for development of drug delivery systems. Herein, we successfully developed physically cross-linked supramolecular polymers (PECH-PEG-Cy) comprised of hydrogen-bonding cytosine pendant groups, hydrophilic poly(ethylene glycol) side chains, and a hydrophobic poly(epichlorohydrin) main chain. The polymers spontaneously self-assemble into a reversibly hydrogen-bonded network structure induced by cytosine and directly form spherical nanogels in aqueous solution. Nanogels with a high hydrogen-bond network density (i.e., a higher content of cytosine moieties) exhibit outstanding long-term structural stability in cell culture substrates containing serum, whereas nanogels with a relatively low hydrogen-bond network density cannot preserve their structural integrity. The nanogels also exhibit numerous unique physicochemical characteristics in aqueous solution, such as a desirable spherical size, high biocompatibility with normal and cancer cells, excellent drug encapsulation capacity, and controlled pH-responsive drug release properties. More importantly, in vitro experiments conclusively indicate the drug-loaded PECH-PEG-Cy nanogels can selectively induce cancer cell-specific apoptosis and cell death via cytosine receptor-mediated endocytosis, without significantly harming normal cells. In contrast, control drug-loaded PECH-PEG nanogels, which lack cytosine moieties in their structure, can only induce cell death in cancer cells through non-specific pathways, which significantly inhibits the induction of apoptosis. This work clearly demonstrates that the cytosine moieties in PECH-PEG-Cy nanogels confer selective affinity for the surface of cancer cells, which enhances their targeted cellular uptake, cytotoxicity, and subsequent induction of programmed cell death in cancer cells.",ok
Species identification of echinoderms from Gili Ketapang Island by combining morphology and molecular data,"Nugroho, E.D.| Ardiansyah, R.| Kurniawan, N.| Widodo| Rahayu, D.A.",5.0,57202467937| 57991872500| 25936298600| 57190247745| 57214115527,2023.0,2023-02-28,AACL Bioflux,16,1,135-150,-,ISSN-18448143,19300156808.0,Journal,English,0.49,64,1.4,73,0.236,72,1.51,27.0,7.0,1.05,6.69,24.0,28.0,0.0,0.0,"Nugroho, E.D., Ardiansyah, R., Kurniawan, N. and 2 more (...) (2023).Species identification of echinoderms from Gili Ketapang Island by combining morphology and molecular data. AACL Bioflux,16(1) 135-150",https://www.scopus.com/record/display.url?eid=2-s2.0-85146248653&origin=resultslist,-,Article,,2-s2.0-85146248653,-,Brawijaya University| Universitas Negeri Surabaya,2.0,129084410| 60069392| 60105082,Institut Teknologi & Sains Nahdlatul Ulama Pasuruan| Brawijaya University| Universitas Negeri Surabaya,57202467937,57214115527,57202467937,-,Indonesia,1.0,1104| 1105| 2308| 2312,"Aquatic Science| Ecology, Evolution, Behavior and Systematics| Management, Monitoring, Policy and Law| Water Science and Technology",2| 5| 3,Engineering & Technology| Life Sciences & Medicine| Social Sciences & Management,502| 424,Agriculture & Forestry| Environmental Sciences,37| 32,Physical Sciences| Life Sciences,31| 30,"Biological Sciences| Agricultural, Veterinary And Food Sciences",3103| 3005,Ecology| Fisheries sciences,-,DNA Barcoding and Species Identification Techniques,1314,25.638,DNA Barcoding and Taxonomic Identification Advances,5474,95.755,Definitive,"Echinoderms are marine water invertebrates with diverse morphologies and grouped into five classes, but there are currently limited reports on the species from Gili Ketapang Island, East Java. Therefore, this study aims to identify these species, based on their morphologic and molecular characteristics and to determine the phylogenetics of echinoderms from Gili Ketapang Island. DNA barcodes, based on fragments of the 5' end of the cytochrome c oxidase subunit I gene (COI), have been used to support the morphological examination for the echinoderms’ evolutionary lineages determination. A total of 16 echinoderm samples were collected and identified based on morphological characteristics. Subsequently, molecular characterization and identification were conducted using 503 bp of COI, by considering the gene similarity, sequence variation, genetic distance, phylogenetic topology, based on the Barcode of Life Data (BOLD) System. According to the results, the samples were identified as Diadema setosum, Macrophiothrix longipeda, Archaster typicus, Echinometra mathaei, Holothuria atra, Linckia laevigata, Bohadschia argus, and Ophiactis savignyi. Each species was associated with a particular DNA barcode cluster and the relationship among all was revealed. Automatic Barcode Gap Discovery (ABGD) analysis showed that the analyzed echinoderms were divided into eight species, and these new records established a sequences reference library for the Island.",ok
Exploring Factors Affecting Physical Health Perception Through Sports Participation: A PLS-SEM Approach,"Sepdanius, E.| Sidi, M.A.B.M.| Saputra, E.| Afriani, R.| Gemaini, A.| Ayubi, N.",6.0,57204845666| 58774026200| 58774026300| 59318255100| 57571836700| 57537497000,2024.0,2024-01-01,Retos,51,-,1526-1535,-,ISSN-15791726,21100468901.0,Journal,English,1.12,24,3.6,6,0.338,17,2.03,28.0,7.0,3.12,2.24,12.0,8.0,0.0,0.0,"Sepdanius, E., Sidi, M.A.B.M., Saputra, E. and 3 more (...) (2024).Exploring Factors Affecting Physical Health Perception Through Sports Participation: A PLS-SEM Approach. Retos,511526-1535",https://www.scopus.com/record/display.url?eid=2-s2.0-85180320802&origin=resultslist,10.47197/RETOS.V51.101500,Article,Gold,2-s2.0-85180320802,-,State University of Padang| Universite Claude Bernard Lyon 1| Universitas Negeri Surabaya| Universiti Teknologi MARA,4.0,60105184| 60004351| 60023578| 60105082,Universitas Negeri Padang| Universiti Teknologi MARA| Université Claude Bernard Lyon 1| Universitas Negeri Surabaya,57204845666,57537497000,58774026300,-,Indonesia| France| Malaysia,3.0,2732| 3304| 3612,"Orthopedics and Sports Medicine| Education| Physical Therapy, Sports Therapy and Rehabilitation",5| 3,Life Sciences & Medicine| Social Sciences & Management,532| 318| 343,Medicine| Education & Training| Sports-related Subjects,41| 34| 32,Education Studies| Medical and Health| Life Sciences,39| 42,Education| Health Sciences,3903| 4207| 3901,Education systems| Sports science and exercise| Curriculum and pedagogy,-,Organizational Dynamics in Employee Engagement and Ethics,95,95.16,Self-Leadership Dynamics in Diverse Contexts,41074,79.375,Definitive,"This study aims to test models related to the influence of self-leadership, social relationships, and sports skill orientation on perceived physical health through sports participation. Data analysis was analyzed using the Partial Least Square (PLS) method by determining content validity, Average Variance Extracted (AVE), Inner Model, and Hypothesis testing. 1,351 volunteers participated in this study. They are from 18 regions in West Sumatra. Data collection techniques in this study used survey techniques through google forms and circulated via WhatsApp social media. The results showed: 1) relationship has a significant effect on physical health perception (t-count> t-table) =13.437> 1.966. 2) Self-leadership has no significant effect on physical health perception (t-count < t-table) = 0.189 > 1.966. 3) Self Leadership has a significant effect on relationships (t-count> t-table) =20.598> 1.966. 4) Self Leadership has a significant effect on skill orientation (t-count> t-table) = 65.769> 1.966. 5) Skill Orientation has a significant effect on Physical Health Perception (t-count> t-table) =3.387> 1.966. 6) Skill Orientation has no significant effect on Relationship (t-count < t-table) =1.065 > 1.966. Thus, self-leadership does not directly influence physical health but affects social relationships and exercise skill orientation. These two variables directly affect people's perception of being physically healthy. The results of this study can be helpful for designing more effective strategies for improving perceptions of physical health through developing self-leadership, strengthening social relationships, and improving exercise skill orientation.",ok
Aligning numeracy task design with SDG goals: Nutrition facts as a context for prospective mathematics teachers' problem posing,"Sari, Y.M.| Kohar, A.W.| El Milla, Y.I.| Fiangga, S.| Rahayu, D.S.",5.0,57213319430| 57188993923| 58241882900| 57200376163| 58097512600,2024.0,2024-01-01,Journal on Mathematics Education,15,1,191-206,-,ISSN-20878885,21100898027.0,Journal,English,1.61,11,3.3,14,0.348,54,4.97,43.0,7.0,8.84,0.79,12.0,2.0,0.0,0.0,"Sari, Y.M., Kohar, A.W., El Milla, Y.I. and 2 more (...) (2024).Aligning numeracy task design with SDG goals: Nutrition facts as a context for prospective mathematics teachers' problem posing. Journal on Mathematics Education,15(1) 191-206",https://www.scopus.com/record/display.url?eid=2-s2.0-85180339437&origin=resultslist,10.22342/jme.v15i1.pp191-206,Letter,Gold,2-s2.0-85180339437,-,Universitas Negeri Surabaya,1.0,60105082| 130610252,Universitas Negeri Surabaya| IAIN Kediri,57213319430,58097512600,57213319430,-,Indonesia,1.0,2600| 3304,General Mathematics| Education,4| 3,Natural Sciences| Social Sciences & Management,318| 431,Education & Training| Mathematics,37| 41,Physical Sciences| Education Studies,39,Education,3901,Curriculum and pedagogy,SDG 4,Nutrition Patterns and Health Outcomes Across Cultures,458,89.601,Food Labeling Impact on Consumer Choices,4746,97.854,Definitive,"Nutrition facts are the details on food packaging that describe its nutritional value, including serving size, calories, macronutrients like carbohydrates, protein, and fat, and micronutrients such as vitamins and minerals. These facts have mathematical concepts that can be utilized as a context for prospective teachers to create mathematical problems. By leveraging this real-world data, educators can contribute to multiple Sustainable Development Goals (SDGs), particularly SDG 3 (Good Health and Well-being), by promoting nutritional awareness, and SDG 4 (Quality Education) by enhancing student engagement and understanding through relatable examples. This study examines the profile of mathematical tasks created by prospective mathematics teachers using nutrition facts as a context that meets numeracy task criteria. Data were collected from 62 mathematical tasks created by 31 prospective teachers attending a realistic mathematics education course on numeracy based on a problem-posing task at a public university in Surabaya, Indonesia. The posed tasks were categorized into solvable or unsolvable tasks and the domains of the level of context use and the level of cognitive processes. Results revealed that the level of context use in the posed tasks varied from zero to second order. Surprisingly, most of the tasks were in the first-order level context. Most posed tasks reached the application level, with only a few identified as reasoning tasks. Interestingly, some tasks coded as second-order context were classified as reasoning tasks. The study provides implications for designing numeracy tasks using nutrition facts and interventions in teacher education related to numeracy task design.",ok
A spiritual journey of an Indonesian woman: The evidence through literature from a psychospiritual perspective,"Ahmadi, A.",1.0,57201349400,2023.0,2023-01-01,Cogent Arts and Humanities,10,2,-,2270789,ISSN-23311983,21100775648.0,Journal,English,1.25,17,1.6,9,0.342,31,1.7,46.0,7.0,3.46,2.02,24.0,6.0,0.0,0.0,"Ahmadi, A. (2023).A spiritual journey of an Indonesian woman: The evidence through literature from a psychospiritual perspective. Cogent Arts and Humanities,10(2) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85174917410&origin=resultslist,10.1080/23311983.2023.2270789,Article,Gold,2-s2.0-85174917410,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,-,-,57201349400,57201349400,Indonesia,1.0,1200,General Arts and Humanities,1,Arts & Humanities,-,-,33,Arts and Humanities,MD,Multidisciplinary,MD,Multidisciplinary,-,"Technology, Society, and Public Engagement Dynamics",941,38.391,Interconnectedness of Knowledge and Spirituality,39618,52.104,Definitive,"Recently, the study of women has been widely discussed worldwide in various perspectives. One of them is the study of women through a literary perspective. In this regard, this article aims to explore women who seek identity through a psychospiritual perspective using the medium of literature. This study combines psychology and the spiritual dimension as a transpersonal approach. Specifically, this article explores the spiritual journey of an Indonesian woman through fiction, which is depicted in a novel entitled Partikel by Dewi Lestari. This study applied a qualitative method to present the result in a descriptive-interpretative way. A documentative technique was used as an instrument to collect data. Meanwhile, the data analysis technique was conducted through data identification, classification, reduction, and explanation stages. The results of the study revealed the following findings. First, the character Zarah was not brave enough to choose her spiritual path in her childhood stage. Second, in her adolescence stage, Zarah started openly exposing her spiritual path by worshipping mushrooms. Third, Zarah experimented on her spiritual journey by eating the sacred mushroom to carry out a holy pilgrimage in her adulthood stage. This study has implications for psychospiritual studies in the context of women’s literature and for the development of future literary studies.",ok
Revisiting the online shopper's behaviour in Indonesia: The role of trust and perceived benefit,"Widyastuti, W.| Hartini, S.| Artanti, Y.",3.0,55899436800| 57203394845| 57204909042,2020.0,2020-12-01,International Journal of Industrial Engineering and Management,11,4,226-236,-,ISSN-22172661,21100211751.0,Journal,English,0.89,38,2.4,42,0.33,45,2.62,144.0,7.0,0.16,12.51,45.0,68.0,0.0,0.0,"Widyastuti, W., Hartini, S., Artanti, Y. (2020).Revisiting the online shopper's behaviour in Indonesia: The role of trust and perceived benefit. International Journal of Industrial Engineering and Management,11(4) 226-236",https://www.scopus.com/record/display.url?eid=2-s2.0-85099921289&origin=resultslist,10.24867/IJIEM-2020-4-267,Article,Gold,2-s2.0-85099921289,-,Universitas Airlangga| Universitas Negeri Surabaya,2.0,60105082| 60069383,Universitas Negeri Surabaya| Universitas Airlangga,55899436800,57204909042,55899436800,-,Indonesia,1.0,1401| 2209,"Business, Management and Accounting (miscellaneous)| Industrial and Manufacturing Engineering",3| 2,Social Sciences & Management| Engineering & Technology,308| 222,Business & Management Studies| Engineering - Mechanical,36| 35,Engineering| Business and Economics,35| 40,"Commerce, Management, Tourism And Services| Engineering",3507| 4014| 4010,"Strategy, management and organisational behaviour| Manufacturing engineering| Engineering practice and education",-,Influence of Technology on Consumer Behavior,86,99.411,Trust Mechanisms in Online Shopping Environments,5025,97.568,Very Good,"This study attempts to analyze the factors that influence attitudes toward online shopping in Indonesia. The population in this study is consumers who have experience buying products online through social media or e-commerce. The implication of the study is enriching the behavioural marketing studies about factors that influence online product purchases and suggest the marketers create a more effective marketing strategy based on different customer level of trust. The study results showed that perceived benefit and trust are the driving factors of consumer attitudes to make online purchases. In this study, perceived benefit functions as a mediator of trust influence on attitude. This study reveals that high levels of trust influence consumer attitudes toward online shopping while at low levels of trust, consumer attitudes will be more influenced by perceived benefits.",ok
"DNA barcoding of lamp shells (Brachiopoda: Lingula anatina) from Probolinggo, East Java, Indonesia","Ambarwati, R.| Rahayu, D.A.| Rachmadiarti, F.| Khaleyla, F.",4.0,57216337498| 57214115527| 57195929051| 57195995839,2021.0,2021-04-01,Biodiversitas,22,4,1764-1774,-,ISSN-1412033X,21100332431.0,Journal,English,0.98,33,1.7,55,0.29,62,1.17,22.0,7.0,0.73,9.56,41.0,38.0,0.0,0.0,"Ambarwati, R., Rahayu, D.A., Rachmadiarti, F. and 1 more (...) (2021).DNA barcoding of lamp shells (Brachiopoda: Lingula anatina) from Probolinggo, East Java, Indonesia. Biodiversitas,22(4) 1764-1774",https://www.scopus.com/record/display.url?eid=2-s2.0-85103643786&origin=resultslist,10.13057/biodiv/d220421,Article,Gold,2-s2.0-85103643786,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57216337498,57195995839,-,-,Indonesia,1.0,1103| 1110| 1312,Animal Science and Zoology| Plant Science| Molecular Biology,5,Life Sciences & Medicine,507| 502,Biological Sciences| Agriculture & Forestry,32,Life Sciences,51| 30| 31,"Physical Sciences| Agricultural, Veterinary And Food Sciences| Biological Sciences",3007| 5199| 3103,Forestry sciences| Other physical sciences| Ecology,-,Fossil Record Insights into Biostratigraphy Evolution,793,27.469,Cambrian Brachiopods and Their Evolutionary Significance,11779,61.734,Defensible,"Lingula anatina is one of brachiopods found in tropical regions, however, the reports on this species from South East Asia is currently limited. This study, therefore, aims to identify the Cytochrome Oxidase subunit I (COI) sequence and phylogenetic of lamp shells from Probolinggo, Indonesia. A total of five samples of lamp shells were collected from Probolinggo, Indonesia, then identified based on morphological characters, and the identification was confirmed using molecular data. Subsequently, molecular characterization and identification were conducted based on 657 bp of COI gene similarity, sequence variation, genetic distance, phylogenetic topology, and BOLD System. According to the results, the Lingula species found in Probolinggo Indonesia was Lingula anatina. The median-joining network and Automatic Barcode Gap Discovery (ABGD) analysis showed this Lingula anatina population from Probolinggo had relatives of 22 haplotypes and divided into six haplogroups. Furthermore, the population belonged to the same haplogroup but had different haplotypes. Thus, this study provides more information for Lingula anatina phylogenetic and haplotype studies.",ok
