Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"Qualitatively beyond the ledger: unravelling the interplay of organisational control, whistleblowing systems, fraud awareness, and religiosity","Maulidi, A.| Girindratama, M.W.| Putra, A.R.| Sari, R.P.| Nuswantara, D.A.","5","57200387162| 58917790400| 58917155800| 57211516180| 57200395873","2024","2024-01-01","Cogent Social Sciences","10","1","-","2320743","ISSN-23311886","21100872366","Journal","English","0.97","31","2.8","33","0.418","36","5.14","103","5","2.75","1.82","16","9","0","0","Maulidi, A., Girindratama, M.W., Putra, A.R. and 2 more (...) (2024).Qualitatively beyond the ledger: unravelling the interplay of organisational control, whistleblowing systems, fraud awareness, and religiosity. Cogent Social Sciences,10(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85186562475&origin=resultslist","10.1080/23311886.2024.2320743","Article","Gold","2-s2.0-85186562475","-","Terbuka University| University of Surabaya| Universitas Negeri Surabaya| Universitas Pembangunan Nasional ""Veteran"" Jawa Timur","4","60104303| 60089137| 60105964| 60105082","Universitas Surabaya| Universitas Terbuka| ""Universitas Pembangunan Nasional ""Veteran"" Jawa Timur""| Universitas Negeri Surabaya","57200387162","57200395873","58917790400","-","Indonesia","1","3300","General Social Sciences","3","Social Sciences & Management","-","-","40","Social Sciences","MD","Multidisciplinary","MD","Multidisciplinary","SDG 10","Corporate Governance and Ownership Impact on Performance","45","98.038","Internal Audit and Corporate Governance Dynamics","8680","94.767","Definitive"
"Antibacterial and Wound Healing Effects of Chitosan-Silver Nanoparticle and Binahong (Anredera cordifolia) Gel Modified with Cinnamon Essential Oil","Lestari, N.R.D.| Cahyaningrum, S.E.| Herdyastuti, N.| Setyarini, W.| Arizandy, R.Y.","5","58879571200| 36992057000| 39261511000| 57211906220| 57211905596","2024","2024-02-01","Tropical Journal of Natural Product Research","8","1","5936-5945","-","ISSN-26160684","21100933230","Journal","English","0.43","69","1.6","63","0.217","62","7.81","85","5","1.42","3.52","16","21","0","0","Lestari, N.R.D., Cahyaningrum, S.E., Herdyastuti, N. and 2 more (...) (2024).Antibacterial and Wound Healing Effects of Chitosan-Silver Nanoparticle and Binahong (Anredera cordifolia) Gel Modified with Cinnamon Essential Oil. Tropical Journal of Natural Product Research,8(1) 5936-5945","https://www.scopus.com/record/display.url?eid=2-s2.0-85184700845&origin=resultslist","10.26538/tjnpr/v8i1.32","Article","Gold","2-s2.0-85184700845","-","Universitas Airlangga| Universitas Negeri Surabaya","2","60105082| 60069383","Universitas Negeri Surabaya| Universitas Airlangga","58879571200","57211905596","36992057000","-","Indonesia","1","1303| 1313| 1602| 2707| 3002| 3003| 3004","Biochemistry| Molecular Medicine| Analytical Chemistry| Complementary and Alternative Medicine| Drug Discovery| Pharmaceutical Science| Pharmacology","4| 5","Natural Sciences| Life Sciences & Medicine","537| 409| 507| 532","Pharmacy & Pharmacology| Chemistry| Biological Sciences| Medicine","37| 34| 32","Physical Sciences| Medical and Health| Life Sciences","51| 42| 32","Physical Sciences| Health Sciences| Biomedical And Clinical Sciences","4208| 3214| 5199","Traditional, complementary and integrative medicine| Pharmacology and pharmaceutical sciences| Other physical sciences","-","Antioxidant and Antimicrobial Properties of Essential Oils","275","87.901","Essential Oils as Antimicrobial Agents in Food Safety","701","99.444","Definitive"
"The Impact of Artificial Intelligence on Digital Marketing: Leveraging Potential in a Competitive Business Landscape","Hendrayati, H.| Achyarsyah, M.| Marimon, F.| Hartono, U.| Putit, L.","5","57193444685| 57204059948| 54402096700| 57203518030| 41762608400","2024","2024-12-01","Emerging Science Journal","8","6","2343-2359","-","ISSN-26109182","21101017598","Journal","English","1.46","13","7.1","10","0.734","14","14.38","217","5","1.08","4.62","16","27","0","0","Hendrayati, H., Achyarsyah, M., Marimon, F. and 2 more (...) (2024).The Impact of Artificial Intelligence on Digital Marketing: Leveraging Potential in a Competitive Business Landscape. Emerging Science Journal,8(6) 2343-2359","https://www.scopus.com/record/display.url?eid=2-s2.0-85212483228&origin=resultslist","10.28991/ESJ-2024-08-06-012","Article","Gold","2-s2.0-85212483228","-","Polytechnic University of Catalonia| Universitas Negeri Surabaya| Indonesia University of Education| Universiti Teknologi MARA","4","60103797| 118711048| 60007592| 60105082| 60004351","Universitas Pendidikan Indonesia| Politeknik Manufaktur Bandung| Universitat Politècnica de Catalunya| Universitas Negeri Surabaya| Universiti Teknologi MARA","57193444685","41762608400","57193444685","-","Indonesia| Spain| Malaysia","3","1000","Multidisciplinary","-","-","-","-","-","-","35| 51","Commerce, Management, Tourism And Services| Physical Sciences","5199| 3502| 3507","Other physical sciences| Banking, finance and investment| Strategy, management and organisational behaviour","-","Human-Robot Interaction and Emotion Recognition Advances","321","99.15","AI-Enabled Service Robots in Customer Experience","12545","99.973","Definitive"
"Flash Flood Disaster Mitigation Through Environmental Education","Prasetyo, K.","1","57194445663","2022","2022-01-01","Geomatics and Environmental Engineering","16","4","119-134","-","ISSN-18981135","21100940509","Journal","English","0.3","79","1.6","56","0.215","70","1.21","30","5","0.42","11.94","42","54","0","0","Prasetyo, K. (2022).Flash Flood Disaster Mitigation Through Environmental Education. Geomatics and Environmental Engineering,16(4) 119-134","https://www.scopus.com/record/display.url?eid=2-s2.0-85140255664&origin=resultslist","10.7494/geom.2022.16.4.119","Article","Gold","2-s2.0-85140255664","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","-","-","57194445663","57194445663","Indonesia","1","1701| 1903| 1904| 2305| 3305","Computer Science (miscellaneous)| Computers in Earth Sciences| Earth-Surface Processes| Environmental Engineering| Geography, Planning and Development","3| 2| 4","Social Sciences & Management| Engineering & Technology| Natural Sciences","425| 450| 424| 451| 212| 416","Geography| Geology| Environmental Sciences| Geophysics| Computer Science & Information Systems| Earth & Marine Sciences","38| 37| 40","Computer Science| Physical Sciences| Social Sciences","33| 37","Built Environment And Design| Earth Sciences","3709| 3705| 3304","Physical geography and environmental geoscience| Geology| Urban and regional planning","SDG 4| SDG 11| SDG 12","Landslide Susceptibility and Risk Management Framework","835","84.369","Disaster Management and Land Use in Indonesia","31690","62.067","Defensible"
"DETERMINANT AGE AT FIRST MARRIAGE AMONG WOMEN IN EAST JAVA","Imron, A.| Habibah, S.M.| Aziz, U.K.","3","57205621645| 57201195016| 57968385500","2020","2020-10-29","Jurnal Biometrika dan Kependudukan","9","2","104-111","-","ISSN-2302707X","21101196038","Journal","English","0","93","-","-","-","-","0","10","5","0.33","9.01","52","56","0","0","Imron, A., Habibah, S.M., Aziz, U.K. (2020).DETERMINANT AGE AT FIRST MARRIAGE AMONG WOMEN IN EAST JAVA. Jurnal Biometrika dan Kependudukan,9(2) 104-111","https://www.scopus.com/record/display.url?eid=2-s2.0-85161981732&origin=resultslist","10.20473/jbk.v9i2.2020.104-111","Article","Gold","2-s2.0-85161981732","-","Universitas Negeri Surabaya","1","60105082| 125552155","Universitas Negeri Surabaya| National Population and Family Planning Board (BKKBN)","57205621645","57968385500","57205621645","-","Indonesia","1","2613| 2718| 2743| 3317","Statistics and Probability| Health Informatics| Reproductive Medicine| Demography","4| 3| 2| 5","Natural Sciences| Social Sciences & Management| Engineering & Technology| Life Sciences & Medicine","431| 532| 342| 344| 425| 213","Mathematics| Medicine| Sociology| Statistics & Operational Research| Geography| Data Science","40| 34| 37","Social Sciences| Medical and Health| Physical Sciences","-","-","-","-","SDG 3| SDG 5","Erectile Dysfunction and Sexual Health Insights","693","29.366","Female Orgasm and Sexual Dynamics","34953","75.118","Defensible"
"Metacognitive Skills and Self-Regulated Learning in Prospective Chemistry Teachers: Role of Metacognitive Skill-Based Teaching Materials","Azizah, U.| Nasrudin, H.","2","57190445934| 57200365331","2021","2021-01-01","Journal of Turkish Science Education","18","3","461-476","-","ISSN-13046020","17700156748","Journal","English","1.34","18","2.7","31","0.503","37","1.08","39","5","0.4","10.12","48","54","0","0","Azizah, U., Nasrudin, H. (2021).Metacognitive Skills and Self-Regulated Learning in Prospective Chemistry Teachers: Role of Metacognitive Skill-Based Teaching Materials. Journal of Turkish Science Education,18(3) 461-476","https://www.scopus.com/record/display.url?eid=2-s2.0-85116920379&origin=resultslist","10.36681/tused.2021.84","Article","Gold","2-s2.0-85116920379","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57190445934","57200365331","57190445934","-","Indonesia","1","3202| 3304","Applied Psychology| Education","3| 5","Social Sciences & Management| Life Sciences & Medicine","318| 541","Education & Training| Psychology","41| 39","Education Studies| Psychology","39| 51| 40","Education| Physical Sciences| Engineering","4010| 5199| 3903","Engineering practice and education| Other physical sciences| Education systems","-","Mathematics Education and Teacher Development Insights","472","69.065","Metacognitive Skills in Student Learning Strategies","6883","92.938","Very Good"
"Conserving the traditional Indonesian performance art “langen tayub” through “waranggana” creativities","Juwariyah, A.| Trisakti, T.| Abida, F.I.N.","3","57221963162| 58484572200| 58316166100","2023","2023-01-01","Cogent Arts and Humanities","10","1","-","2247672","ISSN-23311983","21100775648","Journal","English","1.25","17","1.6","9","0.342","31","1.85","50","5","2.47","2.02","31","10","0","0","Juwariyah, A., Trisakti, T., Abida, F.I.N. (2023).Conserving the traditional Indonesian performance art “langen tayub” through “waranggana” creativities. Cogent Arts and Humanities,10(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85168098027&origin=resultslist","10.1080/23311983.2023.2247672","Article","Gold","2-s2.0-85168098027","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57221963162","58316166100","57221963162","-","Indonesia","1","1200","General Arts and Humanities","1","Arts & Humanities","-","-","33","Arts and Humanities","MD","Multidisciplinary","MD","Multidisciplinary","-","Organizational Dynamics in Employee Engagement and Ethics","95","95.16","Influence of Human Resources on Community Development","52266","44.727","Definitive"
"Determinants of sustainable supply chain performance: The role of corporate entrepreneurship in indecision textile companies","Noerhartati, E.| Soesatyo, Y.| Moedjito| Mutohir, T.C.| Amrozi Khamidi","5","57205027741| 57194420759| 57209295901| 57199505879| 57215432795","2020","2020-01-01","International Journal of Supply Chain Management","9","1","106-112","-","ISSN-20513771","21100429502","Journal","English","0.58","58","-","-","-","-","1.88","88","4","0.2","14.76","56","66","0","0","Noerhartati, E., Soesatyo, Y., Moedjito and 2 more (...) (2020).Determinants of sustainable supply chain performance: The role of corporate entrepreneurship in indecision textile companies. International Journal of Supply Chain Management,9(1) 106-112","https://www.scopus.com/record/display.url?eid=2-s2.0-85080859950&origin=resultslist","-","Article","","2-s2.0-85080859950","-","Universitas Negeri Surabaya","1","60105082| 60112398","Universitas Negeri Surabaya| Universitas Wijaya Kusuma Surabaya","57205027741","57215432795","57205027741","-","Indonesia","1","1404| 1710| 1802","Management Information Systems| Information Systems| Information Systems and Management","2| 3","Engineering & Technology| Social Sciences & Management","212| 308","Computer Science & Information Systems| Business & Management Studies","37| 38| 35","Physical Sciences| Computer Science| Business and Economics","35| 51","Commerce, Management, Tourism And Services| Physical Sciences","5199| 3509| 3507","Other physical sciences| Transportation, logistics and supply chains| Strategy, management and organisational behaviour","SDG 9| SDG 12","Entrepreneurship and Family Business Dynamics","481","96.991","Entrepreneurial Orientation and Firm Performance Dynamics","1693","98.998","Very Good"
"Hybrid Model for the Next Hourly Electricity Load Demand Forecasting Based on Clustering and Weather Data","Kartini, U.T.| Ardyansyah, D.P.| Yundra, E.","3","57192095275| 57201071085| 56613331100","2020","2020-10-03","Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020","-","-","-","9243243","-","21101028410","Conference Proceeding","English","-","-","-","-","-","-","0.6","12","4","0.18","5.47","56","67","0","0","Kartini, U.T., Ardyansyah, D.P., Yundra, E. (2020).Hybrid Model for the Next Hourly Electricity Load Demand Forecasting Based on Clustering and Weather Data. Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020,","https://www.scopus.com/record/display.url?eid=2-s2.0-85096639874&origin=resultslist","10.1109/ICVEE50212.2020.9243243","Conference Paper","","2-s2.0-85096639874","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57192095275","56613331100","-","-","Indonesia","1","1708| 1710| 2208| 3304","Hardware and Architecture| Information Systems| Electrical and Electronic Engineering| Education","3| 2","Social Sciences & Management| Engineering & Technology","221| 212| 318| 249","Engineering - Electrical & Electronic| Computer Science & Information Systems| Education & Training| Engineering - Petroleum","38| 41| 36","Computer Science| Education Studies| Engineering","51| 40","Physical Sciences| Engineering","4009| 4008| 5199","Electronics, sensors and digital hardware| Electrical engineering| Other physical sciences","-","Electromagnetic Compatibility in Power Systems and Antennas","266","42.642","Stochastic Electromagnetic Emissions and Antenna Design","69722","55.802","Definitive"
"The Use of Virtual Measuring Toolkit toward Students' Cognitive and Procedural Knowledge Achievements","Adam, A.S.| Lutfiyah, A.| Mubarok, H.| Suprapto, N.","4","57201671528| 57201674071| 57211415316| 57163917500","2020","2020-06-05","Journal of Physics: Conference Series","1491","1","-","012017","ISSN-17426588","130053","Conference Proceeding","English","0.47","66","0.7","82","0.21","78","1.24","25","4","2.44","1.64","56","9","0","1","Adam, A.S., Lutfiyah, A., Mubarok, H. and 1 more (...) (2020).The Use of Virtual Measuring Toolkit toward Students' Cognitive and Procedural Knowledge Achievements. Journal of Physics: Conference Series,1491(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85086631482&origin=resultslist","10.1088/1742-6596/1491/1/012017","Conference Paper","Gold","2-s2.0-85086631482","-","Universitas Negeri Surabaya","1","124600531| 60105082","SMP Al Izzah| Universitas Negeri Surabaya","57201671528","57163917500","-","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","-","Integrating Science Education for Student Success","310","75.801","Interactive Simulations in Physics Education","19075","88.709","Very Good"
"Metaverse User Experience, Customer Engagement, and Brand Awareness Relation as SMEs Marketing Strategies in Virtual Worlds","Safitri, A.| Husin, N.| Candra Arifah, I.D.| Dewi, R.S.| Kharisma, F.| Kautsar, A.","6","57865772100| 55008449900| 57395409700| 57193736439| 58038815400| 57202283774","2024","2024-01-01","2024 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems, ICETSIS 2024","-","-","1092-1096","-","-","21101214958","Conference Proceeding","English","-","-","-","-","-","-","13.97","115","4","4.31","0.93","20","5","0","0","Safitri, A., Husin, N., Candra Arifah, I.D. and 3 more (...) (2024).Metaverse User Experience, Customer Engagement, and Brand Awareness Relation as SMEs Marketing Strategies in Virtual Worlds. 2024 ASU International Conference in Emerging Technologies for Sustainability and Intelligent Systems, ICETSIS 2024,1092-1096","https://www.scopus.com/record/display.url?eid=2-s2.0-85190542011&origin=resultslist","10.1109/ICETSIS61505.2024.10459506","Conference Paper","","2-s2.0-85190542011","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57865772100","57202283774","-","-","Indonesia","1","1403| 1404| 1407| 1702| 1802| 2001| 2105","Business and International Management| Management Information Systems| Organizational Behavior and Human Resource Management| Artificial Intelligence| Information Systems and Management| Economics, Econometrics and Finance (miscellaneous)| Renewable Energy, Sustainability and the Environment","2| 3","Engineering & Technology| Social Sciences & Management","212| 317| 308| 213| 221","Computer Science & Information Systems| Economics & Econometrics| Business & Management Studies| Data Science| Engineering - Electrical & Electronic","35| 38| 37| 36","Business and Economics| Computer Science| Physical Sciences| Engineering","-","-","-","-","-","Influence of Technology on Consumer Behavior","86","99.411","Consumer Engagement in Social Media Marketing","888","99.877","Definitive"
"Potential of Polyphenolic Compounds in Rosella Flowers on Reducing Oxidative Stress and Inflammation After Exercise: A Systematic Review","Ayubi, N.| Padmasari, D.F.| Syafawi, A.| Mario, D.T.| Ming, J.W.| Aljunaid, M.| Pranoto, N.W.| Komaini, A.","8","57537497000| 58852291300| 57805016800| 57285881100| 59002837700| 57217991372| 57224774817| 57193789399","2024","2024-02-29","Physical Education Theory and Methodology ","24","1","169-179","-","ISSN-19937989","21100942842","Journal","English","0.57","58","2.7","41","0.318","59","2.86","59","4","0.81","4.92","20","34","0","0","Ayubi, N., Padmasari, D.F., Syafawi, A. and 5 more (...) (2024).Potential of Polyphenolic Compounds in Rosella Flowers on Reducing Oxidative Stress and Inflammation After Exercise: A Systematic Review. Physical Education Theory and Methodology ,24(1) 169-179","https://www.scopus.com/record/display.url?eid=2-s2.0-85189890087&origin=resultslist","10.17309/tmfv.2024.1.20","Review","Gold|Green","2-s2.0-85189890087","-","Universitas Airlangga| State University of Padang| Taiz University| Sultan Idris Education University| Universitas Negeri Surabaya","5","60105082| 60069383| 60105184| 60103633| 60072795","Universitas Negeri Surabaya| Universitas Airlangga| Universitas Negeri Padang| Universiti Pendidikan Sultan Idris| Taiz University","57537497000","57193789399","-","-","Indonesia| Malaysia| Yemen","3","2739| 3304| 3306| 3612","Public Health, Environmental and Occupational Health| Education| Health (social science)| Physical Therapy, Sports Therapy and Rehabilitation","3| 5","Social Sciences & Management| Life Sciences & Medicine","343| 318| 532","Sports-related Subjects| Education & Training| Medicine","40| 34| 41","Social Sciences| Medical and Health| Education Studies","42","Health Sciences","4203| 4207| 4201","Health services and systems| Sports science and exercise| Allied health and rehabilitation science","-","Athlete Health and Muscle Performance Insights","683","60.497","Oxidative Stress and Antioxidant Mechanisms in Exercise","3277","93.285","Definitive"
"The Potential of Tabebuya as Phytoremediator of Lead (Pb) in Atmosphere","Rachmadiarti, F.| Sari, N.Y.| Kandilia, S.| Vatmawati, V.N.| Tri, A.M.| Aisyah, N.F.","6","57195929051| 58071177300| 58081840800| 58081664600| 58081487800| 57226723861","2021","2021-12-06","E3S Web of Conferences","328","-","-","08003","ISSN-25550403","21100795900","Conference Proceeding","English","0.46","67","0.8","75","-","-","0.51","10","4","2.35","1.71","52","10","0","0","Rachmadiarti, F., Sari, N.Y., Kandilia, S. and 3 more (...) (2021).The Potential of Tabebuya as Phytoremediator of Lead (Pb) in Atmosphere. E3S Web of Conferences,328","https://www.scopus.com/record/display.url?eid=2-s2.0-85146521343&origin=resultslist","10.1051/e3sconf/202132808003","Conference Paper","Gold","2-s2.0-85146521343","-","Universitas Airlangga| Universitas Negeri Surabaya","2","60105082| 60069383","Universitas Negeri Surabaya| Universitas Airlangga","57195929051","57226723861","57195929051","-","Indonesia","1","1900| 2100| 2300","General Earth and Planetary Sciences| General Energy| General Environmental Science","4| 2","Natural Sciences| Engineering & Technology","451| 221| 416| 249| 424| 450","Geophysics| Engineering - Electrical & Electronic| Earth & Marine Sciences| Engineering - Petroleum| Environmental Sciences| Geology","36| 37","Engineering| Physical Sciences","51| 40","Physical Sciences| Engineering","5199| 4017| 4005","Other physical sciences| Mechanical engineering| Civil engineering","-","Health Impacts of Air Pollution Exposure","251","95.226","Indoor Plants as Natural Air Purifiers","26706","90.042","Defensible"
"Building Trust and Enhancing Tax Compliance: The Role of Authoritarian Procedures and Respectful Treatment in Indonesia","Prastiwi, D.| Diamastuti, E.","2","57214912128| 57194435906","2023","2023-08-01","Journal of Risk and Financial Management","16","8","-","375","ISSN-19118074","21101089551","Journal","English","0.85","36","4.5","24","0.485","42","4.54","181","4","0.54","7.41","36","46","0","0","Prastiwi, D., Diamastuti, E. (2023).Building Trust and Enhancing Tax Compliance: The Role of Authoritarian Procedures and Respectful Treatment in Indonesia. Journal of Risk and Financial Management,16(8) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85169149417&origin=resultslist","10.3390/jrfm16080375","Article","Hybrid gold|Green","2-s2.0-85169149417","-","Universitas Negeri Surabaya","1","60105082| 126423728","Universitas Negeri Surabaya| Universitas Internasional Semen Indonesia","57214912128","57194435906","57214912128","-","Indonesia","1","1401| 1402| 2002| 2003","Business, Management and Accounting (miscellaneous)| Accounting| Economics and Econometrics| Finance","3","Social Sciences & Management","308| 317| 301","Business & Management Studies| Economics & Econometrics| Accounting & Finance","35","Business and Economics","35| 38","Commerce, Management, Tourism And Services| Economics","-","-","-","Taxation Dynamics and Economic Development Strategies","1458","30.412","Tax Compliance and Morality in Economic Systems","2230","98.445","Definitive"
"Bibliometric analysis on earthquake research in Indonesia from Google scholar data 2018-2020","Ambarsari, R.| Deta, U.A.| Madlazim","3","57222726734| 55872927700| 55001810400","2023","2023-05-15","AIP Conference Proceedings","2595","-","-","020017","ISSN-0094243X","26916","Conference Proceeding","English","0.29","79","0.5","93","-","-","1.97","25","4","5.1","0.78","36","3","0","0","Ambarsari, R., Deta, U.A., Madlazim (2023).Bibliometric analysis on earthquake research in Indonesia from Google scholar data 2018-2020. AIP Conference Proceedings,2595","https://www.scopus.com/record/display.url?eid=2-s2.0-85160931380&origin=resultslist","10.1063/5.0141368","Conference Paper","","2-s2.0-85160931380","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57222726734","55001810400","55872927700","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","MD","Multidisciplinary","MD","Multidisciplinary","-","Landslide Susceptibility and Risk Management Framework","835","84.369","Landslide Susceptibility Mapping and Risk Assessment","570","99.714","Definitive"
"Dentawyanjana Character Segmentation Using K-Means Clustering CLAHE Adaptive Thresholding Based","Anifah, L.| Rusimamto, P.W.| Haryanto| Arsana, I.M.| Haryudo, S.I.| Sumbawati, M.S.","6","55648855000| 57203283361| 57211095658| 57189690131| 57202236759| 57200562972","2022","2022-01-01","2022 5th International Conference on Vocational Education and Electrical Engineering: The Future of Electrical Engineering, Informatics, and Educational Technology Through the Freedom of Study in the Post-Pandemic Era, ICVEE 2022 - Proceeding","-","-","19-24","-","-","21101121703","Conference Proceeding","English","-","-","-","-","-","-","1.71","19","4","1.03","3.87","47","28","0","0","Anifah, L., Rusimamto, P.W., Haryanto and 3 more (...) (2022).Dentawyanjana Character Segmentation Using K-Means Clustering CLAHE Adaptive Thresholding Based. 2022 5th International Conference on Vocational Education and Electrical Engineering: The Future of Electrical Engineering, Informatics, and Educational Technology Through the Freedom of Study in the Post-Pandemic Era, ICVEE 2022 - Proceeding,19-24","https://www.scopus.com/record/display.url?eid=2-s2.0-85142450925&origin=resultslist","10.1109/ICVEE57061.2022.9930437","Conference Paper","","2-s2.0-85142450925","-","University of Trunojoyo Madura| Universitas Negeri Surabaya","2","60105082| 60122051","Universitas Negeri Surabaya| Universitas Trunojoyo Madura","55648855000","57200562972","-","-","Indonesia","1","1702| 1706| 1802| 2208| 3304","Artificial Intelligence| Computer Science Applications| Information Systems and Management| Electrical and Electronic Engineering| Education","2| 3","Engineering & Technology| Social Sciences & Management","213| 221| 212| 318| 249","Data Science| Engineering - Electrical & Electronic| Computer Science & Information Systems| Education & Training| Engineering - Petroleum","37| 38| 41| 36","Physical Sciences| Computer Science| Education Studies| Engineering","-","-","-","-","SDG 11","Innovative Clustering Techniques for Data Segmentation","875","40.549","Clustering Algorithms for Data Security","65045","30.903","Defensible"
"Fun and the benefits of Sign Supported Big Books in mainstream Indonesian kindergartens","Rofiah, K.| Sheehy, K.| Widayati, S.| Budiyanto","4","57196192608| 9636302500| 57221830142| 56054395200","2023","2023-01-01","International Journal of Early Years Education","31","2","467-481","-","ISSN-09669760","5700154766","Journal","English","0.85","37","2.3","47","0.403","47","0.77","28","4","0.71","5.67","36","39","0","0","Rofiah, K., Sheehy, K., Widayati, S. and 1 more (...) (2023).Fun and the benefits of Sign Supported Big Books in mainstream Indonesian kindergartens. International Journal of Early Years Education,31(2) 467-481","https://www.scopus.com/record/display.url?eid=2-s2.0-85111627815&origin=resultslist","10.1080/09669760.2021.1956440","Article","Bronze","2-s2.0-85111627815","-","Open University Milton Keynes| Universitas Negeri Surabaya","2","60105082| 60012113","Universitas Negeri Surabaya| The Open University","57196192608","56054395200","57196192608","-","Indonesia| United Kingdom","2","3204| 3304","Developmental and Educational Psychology| Education","3","Social Sciences & Management","318| 541","Education & Training| Psychology","41| 39","Education Studies| Psychology","39","Education","3903","Education systems","SDG 4","Inclusive Education for Children with Disabilities","796","74.035","Inclusive Education and Teacher Attitudes Towards Disabilities","3358","98.024","Very Good"
"Profile of students' creative thinking skills on global warming material: Gender perspective in physics learning","Wulandari, D.| Hariyono, E.| Suprapto, N.| Hidaayatullaah, H.N.| Prahani, B.K.","5","57217348670| 56458994400| 57163917500| 57217176216| 57207944019","2021","2021-11-25","Journal of Physics: Conference Series","2110","1","-","012028","ISSN-17426588","130053","Conference Proceeding","English","0.4","71","0.8","82","-","-","1.79","34","4","1.54","1.94","52","18","0","0","Wulandari, D., Hariyono, E., Suprapto, N. and 2 more (...) (2021).Profile of students' creative thinking skills on global warming material: Gender perspective in physics learning. Journal of Physics: Conference Series,2110(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85121436463&origin=resultslist","10.1088/1742-6596/2110/1/012028","Conference Paper","Gold","2-s2.0-85121436463","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57217348670","57207944019","57217348670","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","SDG 4","Creative Thinking and Gifted Education Frameworks","987","77.959","Creativity and Problem Solving in Mathematics Education","20452","78.052","Defensible"
