ID,Name,Department
6159713,DODIK ARWIN DERMAWAN,Manajemen Informatika (D4)
74135,JUN SURJANTI,Manajemen (S3)
74238,NAJLATUN NAQIYAH,Bimbingan Konseling (S3)
5992955,YUNI SRI RAHAYU,Pendidikan Sains (S3)
5989179,RENI AMBARWATI,Akuakultur (S1)
6009494,SRI WIDAYATI,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
6856930,MUHAMMAD FAJAR WAHYUDI RAHMAN,Bisnis Digital (S1)
6705218,AHMAD WACHIDUL KOHAR,Pendidikan Matematika (S1)
6010374,GIGIH SIANTORO,Pendidikan Olahraga (S2)
6657139,MUHAMMAD KHARIS FAJAR,Kepelatihan Olahraga (D4)
6007074,SURYANTI,Pendidikan Dasar (S3)
6010161,NUR KHOLIS,Pendidikan Teknik Elektro (S2)
6007093,HENDRATNO,Pendidikan Dasar (S3)
6860061,AHMAD FAUZI HENDRATMOKO,Pendidikan Ilmu Pengetahuan Alam (S1)
73822,AHMAD AJIB RIDLWAN,Ekonomi Islam (S1)
6010489,MIFTACHUL AMRI,Pendidikan Bahasa Mandarin (S1)
6704671,FIRAS KHALEYLA,Biologi (S1)
5993257,WAHONO WIDODO,Pendidikan Ilmu Pengetahuan Alam (S1)
6009075,HERYANTO SUSILO,Ilmu Pendidikan (S3)
5997120,ANANG KISTYANTO,Manajemen (S3)
5989542,WIWIN YULIANINGSIH,Pendidikan Luar Sekolah (S2)
6010049,UNIT THREE KARTINI,Teknik Elektro (S2)
6010641,SETYO ADMOKO,Pendidikan Fisika (S1)
6010521,DWI CAHYO KARTIKO,Pendidikan Jasmani (S3)
5996510,NIKEN PURWIDIANI,Tata Boga (D4)
6010687,ANY SUTIADININGSIH,Tata Boga (D4)
6003543,SRI SURYANTI,Pendidikan Matematika (S1)
6010416,UMI ANUGERAH IZZATI,Psikologi (S2)
165431,ALI SHODIKIN,Pendidikan Matematika (S1)
6700922,WULAN PATRIA SAROINSONG,Pendidikan Anak Usia Dini (S2)
6008449,ERMAN,Pendidikan Sains (S3)
74268,I KETUT BUDAYASA,Pendidikan Matematika (S3)
5994616,ABD. KHOLIQ,Pendidikan Fisika (S1)
6756928,YULISTIANA,Tata Busana (D4)
6650966,INDAR SABRI,Pendidikan Seni (S3)
6781919,AMINUDIN MA'RUF,Ekonomi (S1)
6844598,SAPTI PUSPITARINI,Pendidikan Ilmu Pengetahuan Alam (S1)
6755212,HIRNANDA DIMAS PRADANA,Teknologi Pendidikan (S1)
6009729,GUNARTI DWI LESTARI,Ilmu Pendidikan (S3)
74247,DIMAS AVIAN MAULANA,Sains Aktuaria (S1)
5989535,I MADE SUARTANA,Teknik Informatika (S1)
6010350,RUDIANA AGUSTINI,Pendidikan Sains (S2)
6010181,MUHAMAD SYARIFFUDDIEN ZUHRIE,Pendidikan Teknik Elektro (S1)
5999992,YUNI YAMASARI,Teknik Informatika (S1)
5989462,WIYLI YUSTANTI,Sistem Informasi (S1)
6769851,YES MATHEOS LASARUS MALAIKOSA,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
74683,MUHAMMAD ABDUL GHOFUR,Pendidikan Ekonomi (S1)
6663454,AYUSTA LUKITA WARDANI,Teknik Listrik (D4)
6009809,NURUL KHOTIMAH,Pendidikan Anak Usia Dini (S2)
6008404,WASPODO TJIPTO SUBROTO,Pendidikan Ekonomi (S3)
6179126,REDIYANTO PUTRA,Akuntansi (S1)
6777006,PARAMA DIPTYA WIDAYAKA,Teknik Elektro (S1)
6009724,RADEN RORO NANIK SETYOWATI,Pendidikan Pancasila dan Kewarganegaraan (S2)
6762575,SUDIRMAN RIZKI ARIYANTO,Teknologi Rekayasa Otomotif (D4)
6009304,WISNU,Pendidikan Sejarah (S1)
6010768,ARIES DWI INDRIYANTI,Sistem Informasi (S1)
6008692,ABDUL HAFIDZ,Kepelatihan Olahraga (D4)
6012661,HARI SETIJONO,Ilmu Keolahragaan (S3)
